ABADÍN	abadín
ABEGONDO	abegondo
AGOLADA	agolada
ALFOZ	alfoz
ALLARIZ	allariz
AMES	ames
AMOEIRO	amoeiro
ANTAS DE ULLA	antas de ulla
ARANGA	aranga
ARBO	arbo
ARES	ares
ARTEIXO	arteixo
ARZÚA	arzúa
AVIÓN	avión
BAIONA	baiona
BALEIRA	baleira
BALTAR	baltar
BANDE	bande
BARALLA	baralla
BARBADÁS	barbadás
BARCO DE VALDEORRAS, O	o barco de valdeorras
BARREIROS	barreiros
BARRO	barro
BAÑOS DE MOLGAS	baños de molgas
BEADE	beade
BEARIZ	beariz
BECERREÁ	becerreá
BEGONTE	begonte
BERGONDO	bergondo
BETANZOS	betanzos
BOBORÁS	boborás
BOIMORTO	boimorto
BOIRO	boiro
BRIÓN	brión
BUEU	bueu
BURELA	burela
BÓVEDA	bóveda
CABANA DE BERGANTIÑOS	cabana de bergantiños
CABANAS	cabanas
CALDAS DE REIS	caldas de reis
CALVOS DE RANDÍN	calvos de randín
CAMARIÑAS	camariñas
CAMBADOS	cambados
CAMBRE	cambre
CAMPO LAMEIRO	campo lameiro
CANGAS	cangas
CARBALLEDA DE AVIA	carballeda de avia
CARBALLEDA DE VALDEORRAS	carballeda de valdeorras
CARBALLEDO	carballedo
CARBALLINO, O	o carballiño
CARBALLO	carballo
CARIÑO	cariño
CARNOTA	carnota
CARRAL	carral
CARTELLE	cartelle
CASTRELO DE MIÑO	castrelo de miño
CASTRELO DO VAL	castrelo do val
CASTRO CALDELAS	castro caldelas
CASTRO DE REI	castro de rei
CASTROVERDE	castroverde
CATOIRA	catoira
CEDEIRA	cedeira
CEE	cee
CELANOVA	celanova
CENLLE	cenlle
CERCEDA	cerceda
CERDEDO	cerdedo
CERDIDO	cerdido
CERVANTES	cervantes
CERVO	cervo
CHANDREXA DE QUEIXA	chandrexa de queixa
CHANTADA	chantada
COIRÓS	coirós
COLES	coles
CORCUBIÓN	corcubión
CORISTANCO	coristanco
CORTEGADA	cortegada
COSPEITO	cospeito
COTOBADE	cotobade
COVELO	covelo
CRECENTE	crecente
CUALEDRO	cualedro
CULLEREDO	culleredo
CUNTIS	cuntis
CURTIS	curtis
DODRO	dodro
DOZÓN	dozón
DUMBRÍA	dumbría
ENTRIMO	entrimo
ESGOS	esgos
FENE	fene
FERROL	ferrol
FISTERRA	fisterra
FOLGOSO DO COUREL	folgoso do courel
FONSAGRADA, A	a fonsagrada
FORCAREI	forcarei
FORNELOS DE MONTES	fornelos de montes
FOZ	foz
FRADES	frades
FRIOL	friol
GOMESENDE	gomesende
GONDOMAR	gondomar
GUITIRIZ	guitiriz
GUNTÍN	guntín
ILLA DE AROUSA, A	a illa de arousa
IRIXOA	irixoa
LALÍN	lalín
LAROUCO	larouco
LAXE	laxe
LAZA	laza
LEIRO	leiro
