time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,municipio
2000-01-01,6.6,4.4,12.8,0.0,,,,,,,ARES
2000-01-02,7.4,4.2,11.9,0.0,,,,,,,ARES
2000-01-03,9.8,6.2,12.4,4.4,,,,,,,ARES
2000-01-04,11.5,10.4,13.0,1.0,,,,,,,ARES
2000-01-05,11.2,10.0,12.8,0.0,,,,,,,ARES
2000-01-06,12.2,10.0,15.0,0.0,,,,,,,ARES
2000-01-07,12.0,8.8,16.4,3.5,,,,,,,ARES
2000-01-08,11.7,9.5,13.6,8.7,,,,,,,ARES
2000-01-09,10.2,7.3,11.4,0.2,,,,,,,ARES
2000-01-10,7.7,4.8,11.4,0.0,,,,,,,ARES
2000-01-11,6.8,3.9,10.8,0.0,,,,,,,ARES
2000-01-12,8.3,4.4,13.2,0.0,,,,,,,ARES
2000-01-13,8.2,6.0,10.0,25.3,,,,,,,ARES
2000-01-14,7.9,6.2,9.7,4.7,,,,,,,ARES
2000-01-15,7.7,5.6,13.4,0.0,,,,,,,ARES
2000-01-16,9.5,6.8,13.2,0.0,,,,,,,ARES
2000-01-17,8.6,6.0,12.0,0.0,,,,,,,ARES
2000-01-18,8.0,4.2,13.0,0.0,,,,,,,ARES
2000-01-19,10.3,7.0,13.4,0.0,,,,,,,ARES
2000-01-20,9.3,6.0,13.0,0.0,,,,,,,ARES
2000-01-21,7.4,3.8,11.0,0.8,,,,,,,ARES
2000-01-22,8.8,6.8,10.8,0.0,,,,,,,ARES
2000-01-23,9.4,7.6,11.6,0.0,,,,,,,ARES
2000-01-24,8.1,6.2,11.1,0.0,,,,,,,ARES
2000-01-25,6.9,4.0,10.8,0.0,,,,,,,ARES
2000-01-26,6.7,2.6,12.2,0.0,,,,,,,ARES
2000-01-27,8.9,7.0,13.2,3.2,,,,,,,ARES
2000-01-28,9.7,8.6,12.2,0.3,,,,,,,ARES
2000-01-29,10.3,8.4,11.8,0.3,,,,,,,ARES
2000-01-30,11.3,9.8,14.1,0.0,,,,,,,ARES
2000-01-31,11.8,8.0,18.5,0.0,,,,,,,ARES
2000-02-01,13.7,10.4,16.6,0.6,,,,,,,ARES
2000-02-02,12.8,10.6,14.2,0.6,,,,,,,ARES
2000-02-03,10.1,7.3,15.7,0.0,,,,,,,ARES
2000-02-04,11.3,7.4,16.6,0.0,,,,,,,ARES
2000-02-05,12.9,9.0,18.4,0.0,,,,,,,ARES
2000-02-06,13.0,10.8,15.4,0.6,,,,,,,ARES
2000-02-07,14.1,12.8,16.0,0.0,,,,,,,ARES
2000-02-08,13.8,11.8,15.6,4.0,,,,,,,ARES
2000-02-09,11.9,9.4,15.4,0.0,,,,,,,ARES
2000-02-10,14.9,10.4,17.4,15.9,,,,,,,ARES
2000-02-11,10.5,9.6,11.8,0.0,,,,,,,ARES
2000-02-12,10.1,8.2,12.8,0.0,,,,,,,ARES
2000-02-13,10.7,8.6,12.8,5.3,,,,,,,ARES
2000-02-14,11.8,10.2,14.0,0.0,,,,,,,ARES
2000-02-15,12.1,10.0,15.4,2.1,,,,,,,ARES
2000-02-16,11.8,10.4,13.4,1.6,,,,,,,ARES
2000-02-17,12.3,10.5,13.2,3.3,,,,,,,ARES
2000-02-18,12.3,10.8,14.6,0.6,,,,,,,ARES
2000-02-19,11.9,11.0,14.4,0.1,,,,,,,ARES
2000-02-20,11.7,7.8,16.0,0.0,,,,,,,ARES
2000-02-21,10.8,8.6,13.2,0.0,,,,,,,ARES
2000-02-22,9.9,7.1,13.0,7.3,,,,,,,ARES
2000-02-23,12.9,11.4,15.2,0.5,,,,,,,ARES
2000-02-24,12.5,10.4,15.4,0.0,,,,,,,ARES
2000-02-25,13.4,10.4,14.8,0.1,,,,,,,ARES
2000-02-26,10.6,8.8,12.2,0.0,,,,,,,ARES
2000-02-27,11.1,8.2,14.6,3.4,,,,,,,ARES
2000-02-28,12.5,9.8,14.8,2.5,,,,,,,ARES
2000-02-29,11.3,9.5,14.0,2.4,,,,,,,ARES
2000-03-01,11.9,9.4,13.6,0.2,,,,,,,ARES
2000-03-02,9.9,6.2,13.0,0.0,,,,,,,ARES
2000-03-03,10.2,6.6,14.5,0.0,,,,,,,ARES
2000-03-04,12.3,10.4,15.2,0.0,,,,,,,ARES
2000-03-05,12.8,8.8,16.8,0.0,,,,,,,ARES
2000-03-06,13.6,9.6,18.2,0.0,,,,,,,ARES
2000-03-07,13.3,9.6,18.4,0.0,,,,,,,ARES
2000-03-08,15.6,10.6,22.0,0.0,,,,,,,ARES
2000-03-09,17.1,13.0,23.6,0.0,,,,,,,ARES
2000-03-10,17.1,10.9,22.8,0.0,,,,,,,ARES
2000-03-11,14.2,10.2,20.0,0.0,,,,,,,ARES
2000-03-12,13.0,10.6,16.4,0.0,,,,,,,ARES
2000-03-13,12.9,9.6,16.3,0.0,,,,,,,ARES
2000-03-14,12.4,8.8,16.6,0.0,,,,,,,ARES
2000-03-15,12.9,9.0,17.0,0.0,,,,,,,ARES
2000-03-16,13.1,10.0,19.4,0.0,,,,,,,ARES
2000-03-17,12.7,9.0,18.2,0.0,,,,,,,ARES
2000-03-18,12.3,10.0,16.4,0.0,,,,,,,ARES
2000-03-19,11.9,9.0,16.0,0.0,,,,,,,ARES
2000-03-20,11.0,8.2,15.9,0.0,,,,,,,ARES
2000-03-21,11.5,8.2,15.0,1.6,,,,,,,ARES
2000-03-22,12.1,10.4,14.4,0.0,,,,,,,ARES
2000-03-23,12.2,10.6,14.8,0.0,,,,,,,ARES
2000-03-24,9.8,9.9,13.9,10.0,,,,,,,ARES
2000-03-25,11.0,8.4,14.4,2.4,,,,,,,ARES
2000-03-26,11.4,9.2,15.0,0.0,,,,,,,ARES
2000-03-27,11.1,8.4,13.6,6.0,,,,,,,ARES
2000-03-28,9.1,6.8,12.6,0.0,,,,,,,ARES
