municipio,lat,lon,error
OUTES,42.8455717,-8.9140816,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
OÍMBRA,41.8857802,-7.4715679,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PALAS_DE_REI,42.8739125,-7.8697964,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PARADELA,42.764594,-7.567601,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PEDRAFITA_DO_CEBREIRO,42.7266132,-7.0216754,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PETÍN,42.3823388,-7.1263643,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PONTECESO,43.2428181,-8.9005051,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PORTO_DO_SON,42.726023,-9.0049123,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
PORTOMARÍN,42.808161,-7.6156139,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
QUIROGA,42.4751472,-7.2697796,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
RIBADEO,43.5361589,-7.0436775,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
RIBAS_DE_SIL,42.4292881,-7.2643601,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
RIBEIRA,42.5778204,-9.0083426,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
RIÓS,41.9754084,-7.2665824,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
RODEIRO,42.6490377,-7.9481672,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
SAMOS,42.730661,-7.3265903,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
SAN_XOÁN_DE_RÍO,42.3822986,-7.3002329,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
SARRIA_(LUGO),42.7784203,-7.4146607,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
SOBRADO_(A_CORUÑA),43.0403957,-8.0224927,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
TABOADA,42.7156699,-7.7629848,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
TOQUES,42.9692523,-7.955717,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
TRABADA,43.4471608,-7.1942852,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
TRASMIRAS,42.0232495,-7.6156761,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
TRIACASTELA,42.7563403,-7.2397461,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VERÍN,41.9406091,-7.4406032,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VIANA_DO_BOLO,42.1804436,-7.1132213,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VILAMARTÍN_DE_VALDEORRAS,42.4423009,-7.0646314,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VILARDEVÓS,41.9073842,-7.312875,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VILARIÑO_DE_CONSO,42.1661767,-7.1826752,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VIMIANZO,43.1102989,-9.0327488,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
VIVEIRO,43.6621866,-7.5955019,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
XERMADE,43.355072,-7.8122096,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
XOVE,43.6851765,-7.5115144,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
ZAS,43.0975071,-8.9165734,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
