municipio,lat,lon,error
A_GUDIÑA,42.0605483,-7.1403516,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
A_POBRA_DE_TRIVES,42.3405898,-7.2547833,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
A_POBRA_DO_BROLLÓN,42.5564957,-7.3921684,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
A_RÚA,42.3952755,-7.1141649,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
A_VEIGA,42.2507678,-7.0260508,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
AGOLADA,42.762592,-8.0184167,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
ALFOZ,43.5046142,-7.4274459,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
ANTAS_DE_ULLA,42.7822537,-7.8896857,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
AS_NOGAIS,42.8089027,-7.1089861,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
AS_PONTES_DE_GARCÍA_RODRÍGUEZ,43.4501237,-7.8530971,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
AS_SOMOZAS,43.5274722,-7.9215955,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
BALTAR,41.9509014,-7.7157653,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
BARREIROS,43.514168,-7.2505546,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
BECERREÁ,42.8544959,-7.1616043,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
BURELA,43.6606329,-7.3587521,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
BÓVEDA,42.6240523,-7.4847221,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CABANA_DE_BERGANTIÑOS,43.1898483,-8.9142226,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CALVOS_DE_RANDÍN,41.9250298,-7.8590989,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CAMARIÑAS,43.1310578,-9.1825585,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CARIÑO,43.7412174,-7.8698084,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CARNOTA,42.821959,-9.0878032,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CASTRELO_DO_VAL,41.9905158,-7.4232094,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CASTRO_CALDELAS,42.3725684,-7.3990415,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CEDEIRA,43.6602391,-8.0546995,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CEE_(A_CORUÑA),42.9575581,-9.1917202,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CERDIDO,43.6042951,-7.9654062,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CERVANTES_(LUGO),42.8270064,-6.9617665,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CERVO,43.6696977,-7.4095553,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CHANDREXA_DE_QUEIXA,42.2592799,-7.3776155,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CORCUBIÓN,42.9444958,-9.1942141,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
CUALEDRO,41.9885728,-7.593898,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
DUMBRÍA,43.0104042,-9.1179528,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
ENTRIMO,41.9537793,-8.134253,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
FISTERRA,42.9064771,-9.263789,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
FOLGOSO_DO_COUREL,42.5882486,-7.1925449,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
FOZ,43.5688659,-7.2550407,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
GUITIRIZ,43.1807643,-7.8942672,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LALÍN,42.6614127,-8.1109759,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LAROUCO,42.3466038,-7.1632358,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LAXE,43.2219125,-9.0059393,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LAZA,42.0604757,-7.4612117,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LOBIOS,41.9039061,-8.0599771,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LOURENZÁ,43.459566,-7.2850512,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
LOUSAME,42.7733607,-8.8329571,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MANZANEDA,42.3098629,-7.2350007,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MAZARICOS,42.9279499,-8.9941429,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MAÑÓN,43.6696235,-7.7250321,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MOECHE,43.5621201,-7.971905,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MONDOÑEDO,43.4296687,-7.3638814,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MONFORTE_DE_LEMOS,42.5236693,-7.5096951,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MONTERREI,41.9467657,-7.4491474,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MONTERROSO,42.7918646,-7.8357837,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MURAS,43.4677732,-7.7297943,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MUROS_(A_CORUÑA),42.7744106,-9.0575351,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MUXÍA,43.1071193,-9.2181926,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
MUÍÑOS,41.9368705,-7.9800073,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
NAVIA_DE_SUARNA,42.9644848,-6.9567894,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
NEGUEIRA_DE_MUÑIZ,43.1316796,-6.8907124,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
NOIA,42.7850763,-8.8877375,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
O_BOLO,42.3069457,-7.0994897,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
O_INCIO,42.6663997,-7.3632245,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
O_SAVIÑAO,42.6449477,-7.6394859,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
O_VALADOURO,43.534559,-7.484288,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
O_VICEDO,43.7323276,-7.6736775,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
ORTIGUEIRA,43.6843141,-7.8543679,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
OS_BLANCOS,41.9976233,-7.7522894,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
OUROL,43.5640334,-7.6425182,Stations.inventory() takes from 2 to 3 positional arguments but 4 were given
