time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,municipio
2018-07-21,18.2,13.7,22.3,,,340.0,8.8,33.3,1018.3,,A_GUARDA
2018-07-22,19.6,14.7,24.7,,,349.0,6.5,27.8,1015.2,,A_GUARDA
2018-07-23,19.2,16.4,22.6,,,180.0,5.8,24.1,1015.0,,A_GUARDA
2018-07-24,18.6,15.5,22.0,,,355.0,6.8,25.9,1016.4,,A_GUARDA
2018-07-25,17.8,15.7,20.8,,,324.0,5.9,22.2,1016.0,,A_GUARDA
2018-07-26,18.9,16.4,22.0,,,337.0,6.8,25.9,1016.6,,A_GUARDA
2018-07-27,18.6,16.1,21.9,,,349.0,5.8,25.9,1016.3,,A_GUARDA
2018-07-28,18.1,15.1,22.3,,,6.0,6.6,27.8,1017.5,,A_GUARDA
2018-07-29,17.9,12.8,22.6,,,106.0,6.0,24.1,1019.0,,A_GUARDA
2018-07-30,19.4,17.6,21.8,,,141.0,5.9,22.2,1019.0,,A_GUARDA
2018-07-31,19.2,16.3,22.9,,,,7.9,35.2,1019.5,,A_GUARDA
2018-08-01,20.0,14.4,25.4,,,2.0,7.1,27.8,1016.3,,A_GUARDA
2018-08-02,25.5,20.0,31.6,,,32.0,7.2,24.1,1014.0,,A_GUARDA
2018-08-03,27.1,22.3,32.7,,,27.0,7.2,22.2,1015.9,,A_GUARDA
2018-08-04,26.0,21.1,32.0,,,25.0,7.3,22.2,1016.9,,A_GUARDA
2018-08-05,24.4,19.6,30.1,,,33.0,5.8,20.4,1015.9,,A_GUARDA
2018-08-06,19.7,18.0,21.8,,,287.0,5.3,20.4,1016.2,,A_GUARDA
2018-08-07,19.2,16.2,22.1,,,347.0,9.5,35.2,1016.9,,A_GUARDA
2018-08-08,17.5,13.6,21.2,,,358.0,6.5,24.1,1016.0,,A_GUARDA
2018-08-09,18.3,14.5,22.6,,,347.0,10.3,37.0,1020.6,,A_GUARDA
2018-08-10,18.5,13.3,23.7,,,4.0,8.3,31.5,1022.3,,A_GUARDA
2018-08-11,18.6,14.0,23.6,,,353.0,7.2,27.8,1020.7,,A_GUARDA
2018-08-12,18.0,14.1,22.2,,,353.0,5.6,22.2,1018.3,,A_GUARDA
2018-08-13,17.8,13.8,21.5,,,,7.6,33.3,1018.4,,A_GUARDA
2018-08-14,19.8,13.8,25.8,,,6.0,6.6,24.1,1017.6,,A_GUARDA
2018-08-15,21.0,15.9,26.7,,,26.0,6.6,22.2,1015.7,,A_GUARDA
2018-08-16,19.5,15.4,24.1,,,6.0,8.9,37.0,1016.9,,A_GUARDA
2018-08-17,21.7,16.2,27.7,,,5.0,8.7,33.3,1018.1,,A_GUARDA
2018-08-18,23.7,18.7,29.3,,,54.0,9.3,27.8,1017.3,,A_GUARDA
2018-08-19,24.3,18.0,30.2,,,56.0,9.3,25.9,1017.5,,A_GUARDA
2018-08-20,25.4,20.1,32.0,,,50.0,9.3,24.1,1016.7,,A_GUARDA
2018-08-21,23.8,18.7,30.3,,,51.0,6.8,22.2,1014.7,,A_GUARDA
2018-08-22,19.1,15.8,23.9,,,39.0,4.8,22.2,1016.0,,A_GUARDA
2018-08-23,17.6,15.5,21.3,,,,5.2,20.4,1018.4,,A_GUARDA
2018-08-24,19.1,13.9,24.4,,,,7.0,29.6,1019.2,,A_GUARDA
2018-08-25,18.7,13.1,24.3,,,8.0,9.3,35.2,1017.8,,A_GUARDA
2018-08-26,18.9,14.8,23.3,,,,7.3,29.6,1015.4,,A_GUARDA
2018-08-27,19.9,15.3,24.8,,,20.0,6.1,22.2,1013.5,,A_GUARDA
2018-08-28,18.9,16.5,21.8,,,18.0,7.2,20.4,1015.1,,A_GUARDA
2018-08-29,18.2,14.1,22.3,,,356.0,8.9,35.2,1021.0,,A_GUARDA
2018-08-30,18.4,13.4,23.7,,,7.0,7.0,27.8,1019.3,,A_GUARDA
2018-08-31,21.4,14.7,27.3,,,19.0,6.9,24.1,1016.9,,A_GUARDA
2018-09-01,25.0,19.5,32.2,,,49.0,7.1,25.9,1014.7,,A_GUARDA
2018-09-02,23.4,17.7,28.3,,,66.0,6.6,22.2,1013.0,,A_GUARDA
2018-09-03,18.2,15.7,20.6,,,44.0,4.7,20.4,1012.1,,A_GUARDA
2018-09-04,17.6,15.1,19.9,,,,5.1,22.2,1012.8,,A_GUARDA
2018-09-05,17.7,14.9,20.8,,,13.0,5.9,22.2,1014.8,,A_GUARDA
2018-09-06,19.0,14.1,24.1,,,17.0,6.3,25.9,1015.5,,A_GUARDA
2018-09-07,21.7,17.5,26.6,,,38.0,7.4,25.9,1013.9,,A_GUARDA
2018-09-08,20.0,16.4,22.5,,,31.0,6.9,22.2,1015.2,,A_GUARDA
2018-09-09,17.1,14.6,20.0,,,16.0,5.2,22.2,1020.4,,A_GUARDA
2018-09-10,18.9,13.6,24.4,,,21.0,5.8,22.2,1022.4,,A_GUARDA
2018-09-11,20.8,17.0,25.7,,,28.0,6.2,20.4,1020.9,,A_GUARDA
2018-09-12,18.4,14.6,22.6,,,,5.1,18.5,1021.2,,A_GUARDA
2018-09-13,17.8,12.7,23.0,,,23.0,5.9,18.5,1020.0,,A_GUARDA
2018-09-14,18.5,14.2,23.0,,,35.0,5.7,18.5,1017.9,,A_GUARDA
2018-09-15,17.4,14.8,21.4,,,31.0,5.4,20.4,1018.3,,A_GUARDA
2018-09-16,16.4,13.2,20.6,,,,4.8,18.5,1019.8,,A_GUARDA
2018-09-17,16.5,12.9,20.6,,,,4.2,18.5,1016.8,,A_GUARDA
2018-09-18,17.2,14.6,20.2,,,,4.6,20.4,1018.2,,A_GUARDA
2018-09-19,16.9,11.2,22.1,,,22.0,6.2,22.2,1021.5,,A_GUARDA
2018-09-20,16.9,12.9,20.2,,,,5.1,18.5,1021.3,,A_GUARDA
2018-09-21,18.7,16.1,22.3,,,21.0,5.3,20.4,1021.7,,A_GUARDA
2018-09-22,18.4,14.7,22.0,,,10.0,5.4,22.2,1023.0,,A_GUARDA
