time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,municipio
2018-09-23,18.8,14.1,23.3,,,15.0,6.9,24.1,1023.6,,A_GUARDA
2018-09-24,22.0,18.1,27.4,,,32.0,6.9,22.2,1021.7,,A_GUARDA
2018-09-25,22.6,18.5,28.7,,,61.0,9.4,22.2,1019.5,,A_GUARDA
2018-09-26,21.0,16.6,26.2,,,66.0,7.2,18.5,1021.6,,A_GUARDA
2018-09-27,20.9,17.2,25.6,,,36.0,5.9,18.5,1025.3,,A_GUARDA
2018-09-28,17.2,14.6,20.6,,,11.0,5.9,24.1,1021.9,,A_GUARDA
2018-09-29,16.1,12.2,20.2,,,30.0,4.6,18.5,1017.6,,A_GUARDA
2018-09-30,16.6,13.4,20.3,,,,4.7,20.4,1018.1,,A_GUARDA
2018-10-01,17.5,11.4,24.2,,,37.0,6.3,24.1,1020.5,,A_GUARDA
2018-10-02,18.7,14.4,25.0,,,62.0,8.7,27.8,1021.4,,A_GUARDA
2018-10-03,18.2,12.7,26.0,,,69.0,8.0,24.1,1021.5,,A_GUARDA
2018-10-04,17.7,12.9,24.0,,,53.0,6.5,18.5,1019.1,,A_GUARDA
2018-10-05,14.3,9.2,18.6,,,48.0,4.8,18.5,1017.1,,A_GUARDA
2018-10-06,14.2,9.7,19.5,,,33.0,7.2,31.5,1019.0,,A_GUARDA
2018-10-07,14.7,9.9,20.8,,,35.0,9.0,29.6,1020.9,,A_GUARDA
2018-10-08,16.0,9.8,23.1,,,61.0,8.5,24.1,1016.6,,A_GUARDA
2018-10-09,16.0,10.3,22.6,,,55.0,8.0,24.1,1010.6,,A_GUARDA
2018-10-10,15.8,10.7,21.2,,,146.0,7.5,29.6,1004.6,,A_GUARDA
2018-10-11,17.0,14.7,19.9,,,206.0,8.5,27.8,1009.2,,A_GUARDA
2018-10-12,18.4,15.5,20.0,,,169.0,14.3,42.6,1016.4,,A_GUARDA
2018-10-13,19.7,16.7,23.1,,,165.0,10.0,31.5,1012.8,,A_GUARDA
2018-10-14,14.3,11.8,16.9,,,333.0,10.2,33.3,1012.5,,A_GUARDA
2018-10-15,15.3,13.1,17.5,,,181.0,8.8,38.9,1007.0,,A_GUARDA
2018-10-16,15.5,13.2,19.4,,,41.0,4.5,18.5,1015.8,,A_GUARDA
2018-10-17,13.3,10.7,15.5,,,,4.7,20.4,1017.3,,A_GUARDA
2018-10-18,16.2,12.1,22.0,,,14.0,7.6,27.8,1012.7,,A_GUARDA
2018-10-19,18.2,14.0,23.2,,,34.0,7.9,25.9,1014.8,,A_GUARDA
2018-10-20,19.3,15.1,24.4,,,56.0,7.5,22.2,1017.6,,A_GUARDA
2018-10-21,18.9,16.6,23.6,,,70.0,5.6,20.4,1018.9,,A_GUARDA
2018-10-22,18.4,15.0,23.5,,,64.0,5.5,18.5,1021.9,,A_GUARDA
2018-10-23,17.7,13.1,24.6,,,75.0,8.3,27.8,1024.2,,A_GUARDA
2018-10-24,16.6,12.8,22.4,,,61.0,5.8,18.5,1025.3,,A_GUARDA
2018-10-25,14.0,10.2,19.9,,,66.0,4.7,14.8,1019.6,,A_GUARDA
2018-10-26,13.7,10.6,17.4,,,40.0,5.0,20.4,1015.1,,A_GUARDA
2018-10-27,12.1,6.8,15.3,,,19.0,11.3,42.6,1015.9,,A_GUARDA
2018-10-28,8.2,4.3,14.0,,,10.0,10.4,40.8,1011.4,,A_GUARDA
2018-10-29,8.7,3.8,12.9,,,304.0,6.7,31.5,1010.0,,A_GUARDA
2018-10-30,9.8,8.2,11.6,,,338.0,7.7,25.9,1001.2,,A_GUARDA
2018-10-31,9.6,7.3,12.9,,,53.0,5.7,24.1,1005.8,,A_GUARDA
2018-11-01,10.8,7.2,14.2,,,111.0,4.8,18.5,1018.0,,A_GUARDA
2018-11-02,14.4,12.1,16.6,,,346.0,5.4,18.5,1024.5,,A_GUARDA
2018-11-03,11.9,10.0,15.3,,,,3.6,16.7,1023.8,,A_GUARDA
2018-11-04,11.9,10.6,13.3,,,160.0,8.3,37.0,1010.5,,A_GUARDA
2018-11-05,11.3,9.8,13.5,,,323.0,10.0,33.3,1006.4,,A_GUARDA
2018-11-06,12.3,9.1,14.0,,,218.0,14.8,51.8,1008.7,,A_GUARDA
2018-11-07,12.7,9.9,15.6,,,285.0,9.2,31.5,1013.5,,A_GUARDA
2018-11-08,11.0,9.7,12.9,,,214.0,10.3,35.2,1013.0,,A_GUARDA
2018-11-09,12.0,8.1,15.5,,,198.0,13.1,46.3,1016.8,,A_GUARDA
2018-11-10,15.5,14.7,16.3,,,262.0,12.4,33.3,1010.5,,A_GUARDA
2018-11-11,13.5,10.1,15.1,,,280.0,7.6,29.6,1009.4,,A_GUARDA
2018-11-12,10.2,7.9,14.9,,,45.0,4.6,14.8,1017.0,,A_GUARDA
2018-11-13,9.8,5.3,15.6,,,56.0,5.2,16.7,1024.0,,A_GUARDA
2018-11-14,12.6,7.9,18.5,,,73.0,5.9,16.7,1018.6,,A_GUARDA
2018-11-15,15.1,12.6,19.3,,,56.0,5.8,18.5,1015.4,,A_GUARDA
2018-11-16,14.4,10.8,19.2,,,71.0,5.5,16.7,1015.4,,A_GUARDA
2018-11-17,15.6,12.4,20.4,,,91.0,8.1,24.1,1009.2,,A_GUARDA
2018-11-18,15.8,12.6,18.6,,,91.0,7.5,24.1,1002.1,,A_GUARDA
2018-11-19,13.0,11.5,16.2,,,103.0,4.1,14.8,1002.8,,A_GUARDA
2018-11-20,11.6,9.5,13.6,,,319.0,4.7,14.8,1002.1,,A_GUARDA
2018-11-21,10.2,8.7,12.8,,,234.0,8.4,29.6,1007.9,,A_GUARDA
2018-11-22,10.1,8.6,12.4,,,201.0,9.5,29.6,1011.4,,A_GUARDA
2018-11-23,9.8,7.1,12.1,,,269.0,6.4,22.2,1014.4,,A_GUARDA
2018-11-24,11.9,10.6,13.0,,,198.0,9.8,38.9,1011.8,,A_GUARDA
2018-11-25,10.0,7.1,11.6,,,35.0,6.2,27.8,1010.9,,A_GUARDA
2018-11-26,11.3,7.6,14.0,,,348.0,9.9,40.8,1020.6,,A_GUARDA
2018-11-27,10.1,6.8,13.2,,,138.0,7.6,27.8,1023.4,,A_GUARDA
2018-11-28,13.1,11.7,15.0,,,179.0,12.4,44.5,1020.8,,A_GUARDA
2018-11-29,12.7,10.3,14.2,,,224.0,9.3,40.8,1017.1,,A_GUARDA
2018-11-30,10.3,7.8,13.7,,,82.0,4.1,13.0,1023.8,,A_GUARDA
2018-12-01,12.1,9.2,14.4,,,172.0,7.1,27.8,1024.4,,A_GUARDA
2018-12-02,14.3,13.6,15.0,,,201.0,9.0,33.3,1023.4,,A_GUARDA
2018-12-03,14.4,12.9,15.0,,,173.0,7.1,24.1,1023.1,,A_GUARDA
2018-12-04,13.1,10.6,16.5,,,105.0,5.7,20.4,1022.1,,A_GUARDA
2018-12-05,12.4,8.8,15.5,,,73.0,8.1,31.5,1026.4,,A_GUARDA
2018-12-06,12.5,9.9,14.9,,,19.0,7.8,31.5,1031.0,,A_GUARDA
2018-12-07,11.4,10.0,13.7,,,25.0,7.1,37.0,1031.3,,A_GUARDA
2018-12-08,10.1,7.2,13.8,,,25.0,7.0,29.6,1032.7,,A_GUARDA
2018-12-09,11.3,8.8,15.7,,,89.0,9.1,33.3,1032.0,,A_GUARDA
2018-12-10,11.4,8.2,16.7,,,121.0,10.1,38.9,1027.3,,A_GUARDA
2018-12-11,10.8,7.7,14.5,,,135.0,8.4,37.0,1023.3,,A_GUARDA
2018-12-12,11.5,9.2,13.6,,,152.0,12.8,51.8,1019.9,,A_GUARDA
2018-12-13,10.7,8.2,13.3,,,333.0,11.0,40.8,1016.0,,A_GUARDA
2018-12-14,9.6,6.4,12.4,,,113.0,6.2,25.9,1024.8,,A_GUARDA
2018-12-15,13.6,12.6,14.4,,,215.0,14.1,40.8,1022.0,,A_GUARDA
2018-12-16,11.5,8.4,13.3,,,306.0,7.6,25.9,1022.5,,A_GUARDA
2018-12-17,9.9,6.6,13.6,,,141.0,8.6,37.0,1026.5,,A_GUARDA
2018-12-18,11.6,10.4,12.7,,,244.0,16.8,59.3,1017.9,,A_GUARDA
2018-12-19,11.6,10.6,12.9,,,292.0,9.0,25.9,1023.6,,A_GUARDA
2018-12-20,12.7,11.1,14.1,,,250.0,6.9,29.6,1026.6,,A_GUARDA
2018-12-21,13.8,13.2,14.4,,,206.0,11.7,37.0,1029.4,,A_GUARDA
2018-12-22,13.2,10.2,15.4,,,117.0,5.0,20.4,1030.8,,A_GUARDA
2018-12-23,11.4,9.0,15.5,,,101.0,6.2,16.7,1028.8,,A_GUARDA
2018-12-24,10.6,7.6,16.0,,,74.0,5.8,18.5,1028.6,,A_GUARDA
2018-12-25,9.7,6.5,14.8,,,117.0,5.0,22.2,1026.7,,A_GUARDA
2018-12-26,10.5,6.5,15.2,,,122.0,6.5,20.4,1027.3,,A_GUARDA
2018-12-27,11.8,10.6,13.8,,,103.0,4.8,16.7,1027.7,,A_GUARDA
2018-12-28,11.5,8.6,15.2,,,44.0,4.4,22.2,1030.2,,A_GUARDA
2018-12-29,10.0,7.1,15.8,,,61.0,5.8,18.5,1030.0,,A_GUARDA
2018-12-30,9.0,5.0,15.3,,,59.0,5.4,18.5,1029.6,,A_GUARDA
2018-12-31,8.1,2.8,14.8,,,7.0,7.6,35.2,1030.7,,A_GUARDA
2019-01-01,7.6,3.0,13.7,,,307.0,10.3,31.5,1032.9,,A_GUARDA
2019-01-02,6.1,1.5,11.5,,,345.0,7.0,33.3,1031.1,,A_GUARDA
2019-01-03,6.1,2.4,12.3,,,57.0,5.8,18.5,1028.1,,A_GUARDA
2019-01-04,5.9,1.5,12.7,,,67.0,5.4,18.5,1031.0,,A_GUARDA
2019-01-05,5.9,0.6,13.0,,,49.0,5.8,16.7,1034.5,,A_GUARDA
2019-01-06,6.4,1.4,13.3,,,347.0,8.6,24.1,1032.9,,A_GUARDA
2019-01-07,7.4,3.3,14.2,,,8.0,8.0,27.8,1031.2,,A_GUARDA
2019-01-08,7.2,3.6,12.9,,,36.0,7.6,24.1,1030.4,,A_GUARDA
2019-01-09,8.1,3.9,13.9,,,46.0,7.1,20.4,1025.3,,A_GUARDA
2019-01-10,8.0,4.8,13.1,,,59.0,8.1,25.9,1022.2,,A_GUARDA
2019-01-11,6.3,2.9,11.6,,,68.0,7.0,33.3,1027.9,,A_GUARDA
2019-01-12,5.8,1.5,11.9,,,56.0,6.4,18.5,1031.7,,A_GUARDA
2019-01-13,6.3,2.8,12.3,,,51.0,6.2,24.1,1030.7,,A_GUARDA
2019-01-14,6.7,2.5,12.6,,,50.0,6.1,27.8,1025.5,,A_GUARDA
2019-01-15,7.3,3.4,12.6,,,103.0,6.6,18.5,1020.8,,A_GUARDA
2019-01-16,8.6,7.2,11.0,,,326.0,9.1,46.3,1019.4,,A_GUARDA
2019-01-17,8.2,5.3,12.3,,,9.0,7.2,24.1,1022.7,,A_GUARDA
2019-01-18,6.2,3.2,8.9,,,110.0,5.8,22.2,1020.9,,A_GUARDA
2019-01-19,10.1,7.4,12.3,,,238.0,11.0,29.6,1012.6,,A_GUARDA
2019-01-20,10.0,7.8,12.7,,,352.0,8.5,29.6,1020.3,,A_GUARDA
2019-01-21,8.2,4.8,12.5,,,6.0,5.9,22.2,1025.6,,A_GUARDA
2019-01-22,9.1,6.1,11.6,,,356.0,6.9,27.8,1023.1,,A_GUARDA
2019-01-23,12.3,10.7,14.1,,,336.0,12.5,38.9,1019.1,,A_GUARDA
2019-01-24,12.9,10.3,15.5,,,351.0,10.1,33.3,1019.4,,A_GUARDA
2019-01-25,10.8,7.6,15.2,,,12.0,7.1,24.1,1022.2,,A_GUARDA
2019-01-26,8.9,5.3,13.6,,,37.0,5.4,18.5,1021.6,,A_GUARDA
2019-01-27,10.4,8.6,13.3,,,359.0,8.2,33.3,1023.4,,A_GUARDA
2019-01-28,10.8,9.1,13.2,,,347.0,7.6,31.5,1025.0,,A_GUARDA
2019-01-29,9.9,7.9,12.3,,,329.0,10.1,35.2,1020.1,,A_GUARDA
2019-01-30,9.7,6.3,13.4,,,224.0,10.9,35.2,1012.5,,A_GUARDA
2019-01-31,12.8,10.6,13.7,,,293.0,18.3,40.8,1001.5,,A_GUARDA
2019-02-01,9.4,8.5,10.6,,,306.0,22.3,51.8,997.1,,A_GUARDA
2019-02-02,7.8,5.6,11.2,,,353.0,9.2,33.3,1019.2,,A_GUARDA
2019-02-03,5.3,1.0,10.0,,,67.0,4.1,13.0,1029.8,,A_GUARDA
2019-02-04,6.4,1.9,11.7,,,124.0,5.8,16.7,1030.7,,A_GUARDA
2019-02-05,8.7,4.9,13.5,,,115.0,5.1,14.8,1030.2,,A_GUARDA
2019-02-06,8.7,4.7,12.7,,,133.0,5.2,14.8,1027.4,,A_GUARDA
2019-02-07,9.5,6.6,13.2,,,78.0,4.8,13.0,1026.7,,A_GUARDA
2019-02-08,9.4,6.3,12.4,,,145.0,7.0,27.8,1024.0,,A_GUARDA
2019-02-09,12.0,10.4,13.7,,,178.0,9.6,33.3,1021.8,,A_GUARDA
2019-02-10,12.0,7.5,14.0,,,276.0,12.0,38.9,1022.7,,A_GUARDA
2019-02-11,7.9,3.2,13.3,,,49.0,5.4,18.5,1030.3,,A_GUARDA
2019-02-12,8.4,3.9,15.0,,,77.0,5.9,18.5,1030.4,,A_GUARDA
2019-02-13,9.4,4.5,16.3,,,107.0,6.0,18.5,1028.7,,A_GUARDA
2019-02-14,11.9,6.8,18.9,,,123.0,7.8,24.1,1024.7,,A_GUARDA
2019-02-15,12.2,9.1,17.4,,,77.0,5.5,18.5,1024.8,,A_GUARDA
2019-02-16,11.1,6.2,17.8,,,118.0,5.6,16.7,1022.8,,A_GUARDA
2019-02-17,10.6,7.7,14.3,,,104.0,6.7,24.1,1020.1,,A_GUARDA
2019-02-18,10.0,7.4,13.1,,,7.0,8.9,29.6,1019.2,,A_GUARDA
2019-02-19,7.3,3.4,12.3,,,22.0,5.7,18.5,1021.2,,A_GUARDA
2019-02-20,8.2,3.5,13.4,,,126.0,6.2,20.4,1022.2,,A_GUARDA
2019-02-21,12.1,7.7,18.3,,,136.0,7.5,27.8,1023.8,,A_GUARDA
2019-02-22,14.2,9.6,20.4,,,136.0,7.5,27.8,1026.9,,A_GUARDA
2019-02-23,14.2,10.7,18.2,,,77.0,5.5,16.7,1029.7,,A_GUARDA
2019-02-24,13.2,8.4,20.0,,,75.0,6.4,18.5,1028.9,,A_GUARDA
2019-02-25,13.3,8.6,20.0,,,89.0,6.2,16.7,1029.2,,A_GUARDA
2019-02-26,14.1,8.8,20.8,,,100.0,6.5,18.5,1024.8,,A_GUARDA
2019-02-27,12.2,9.0,15.7,,,129.0,6.5,25.9,1027.9,,A_GUARDA
2019-02-28,10.0,5.0,14.7,,,27.0,6.2,22.2,1031.3,,A_GUARDA
2019-03-01,11.1,6.6,15.5,,,12.0,4.6,16.7,1028.1,,A_GUARDA
2019-03-02,12.4,10.2,16.1,,,114.0,5.2,16.7,1028.1,,A_GUARDA
2019-03-03,12.6,10.2,15.1,,,197.0,14.1,44.5,1021.5,,A_GUARDA
2019-03-04,11.9,10.0,14.4,,,282.0,8.3,27.8,1021.1,,A_GUARDA
2019-03-05,12.4,9.7,14.7,,,181.0,15.1,50.0,1011.1,,A_GUARDA
2019-03-06,11.5,9.3,14.0,,,271.0,15.8,42.6,1005.0,,A_GUARDA
2019-03-07,10.0,7.7,12.1,,,267.0,9.1,35.2,1015.2,,A_GUARDA
2019-03-08,10.6,6.8,14.4,,,0.0,6.0,22.2,1025.5,,A_GUARDA
2019-03-09,12.4,10.0,16.0,,,44.0,5.0,14.8,1032.1,,A_GUARDA
2019-03-10,12.6,10.6,15.7,,,22.0,6.1,22.2,1033.2,,A_GUARDA
2019-03-11,11.4,7.4,15.8,,,2.0,6.9,22.2,1031.5,,A_GUARDA
2019-03-12,10.0,5.9,14.1,,,9.0,6.5,24.1,1029.5,,A_GUARDA
2019-03-13,9.6,5.5,14.1,,,11.0,9.2,35.2,1033.8,,A_GUARDA
2019-03-14,9.7,4.5,14.8,,,16.0,9.2,31.5,1032.9,,A_GUARDA
2019-03-15,10.5,5.5,15.8,,,19.0,7.6,25.9,1027.4,,A_GUARDA
2019-03-16,10.2,5.9,14.4,,,9.0,6.5,20.4,1022.1,,A_GUARDA
2019-03-17,10.8,8.0,14.4,,,31.0,9.0,37.0,1023.5,,A_GUARDA
2019-03-18,10.7,5.5,16.3,,,23.0,10.0,33.3,1027.6,,A_GUARDA
2019-03-19,12.0,6.5,17.6,,,30.0,9.3,29.6,1027.5,,A_GUARDA
2019-03-20,12.5,8.2,17.2,,,51.0,7.6,24.1,1028.0,,A_GUARDA
2019-03-21,12.0,8.0,17.7,,,71.0,8.3,24.1,1026.6,,A_GUARDA
2019-03-22,11.9,6.1,18.2,,,65.0,7.2,22.2,1026.2,,A_GUARDA
2019-03-23,13.7,6.7,20.2,,,39.0,7.6,24.1,1024.0,,A_GUARDA
2019-03-24,16.0,10.0,21.5,,,40.0,7.7,24.1,1022.0,,A_GUARDA
2019-03-25,16.5,11.1,22.6,,,65.0,8.9,24.1,1020.1,,A_GUARDA
2019-03-26,16.3,12.0,22.3,,,84.0,12.1,33.3,1017.4,,A_GUARDA
2019-03-27,15.8,12.2,22.0,,,76.0,11.3,31.5,1021.6,,A_GUARDA
2019-03-28,14.7,8.7,22.0,,,75.0,9.7,27.8,1024.2,,A_GUARDA
2019-03-29,13.5,7.4,19.9,,,87.0,7.2,20.4,1021.2,,A_GUARDA
2019-03-30,12.4,6.4,17.9,,,39.0,7.2,24.1,1018.0,,A_GUARDA
2019-03-31,13.9,9.0,18.7,,,19.0,6.6,22.2,1012.6,,A_GUARDA
2019-04-01,13.8,9.8,18.5,,,84.0,6.1,18.5,1013.1,,A_GUARDA
2019-04-02,12.3,8.0,16.7,,,7.0,9.6,38.9,1017.9,,A_GUARDA
2019-04-03,10.3,7.5,14.0,,,1.0,11.6,44.5,1014.9,,A_GUARDA
2019-04-04,8.0,3.3,11.4,,,344.0,8.3,37.0,1006.1,,A_GUARDA
2019-04-05,8.6,6.0,10.7,,,274.0,9.4,25.9,1000.4,,A_GUARDA
2019-04-06,9.9,8.0,12.6,,,296.0,15.1,38.9,1004.6,,A_GUARDA
2019-04-07,10.7,8.4,12.8,,,231.0,10.1,35.2,1009.7,,A_GUARDA
2019-04-08,12.5,10.2,14.9,,,258.0,11.7,37.0,1013.2,,A_GUARDA
2019-04-09,11.5,9.5,13.8,,,281.0,10.8,29.6,1014.7,,A_GUARDA
2019-04-10,12.3,10.2,15.2,,,329.0,9.3,31.5,1019.7,,A_GUARDA
2019-04-11,11.1,5.8,15.5,,,,6.1,27.8,1021.8,,A_GUARDA
2019-04-12,11.4,5.4,16.1,,,,4.5,16.7,1020.6,,A_GUARDA
2019-04-13,12.7,9.7,15.7,,,134.0,5.9,20.4,1019.7,,A_GUARDA
2019-04-14,15.5,13.9,17.7,,,151.0,5.8,20.4,1017.2,,A_GUARDA
2019-04-15,14.4,10.9,15.8,,,276.0,7.1,24.1,1013.8,,A_GUARDA
2019-04-16,12.9,8.7,18.4,,,129.0,6.0,22.2,1015.9,,A_GUARDA
2019-04-17,12.7,10.3,15.1,,,137.0,8.2,29.6,1007.8,,A_GUARDA
2019-04-18,13.6,10.9,16.9,,,37.0,6.8,22.2,1012.4,,A_GUARDA
2019-04-19,15.0,10.2,20.2,,,9.0,7.1,24.1,1015.9,,A_GUARDA
2019-04-20,18.5,12.2,23.8,,,19.0,7.9,25.9,1017.4,,A_GUARDA
2019-04-21,18.0,12.7,22.8,,,17.0,7.8,27.8,1013.0,,A_GUARDA
2019-04-22,13.6,10.1,16.8,,,222.0,6.7,27.8,1002.7,,A_GUARDA
2019-04-23,10.0,7.9,12.8,,,277.0,7.4,22.2,998.8,,A_GUARDA
2019-04-24,11.3,9.0,13.9,,,240.0,13.7,40.8,999.4,,A_GUARDA
2019-04-25,11.5,9.1,13.8,,,276.0,13.5,48.2,1010.7,,A_GUARDA
2019-04-26,12.6,9.6,15.4,,,346.0,5.6,27.8,1026.7,,A_GUARDA
2019-04-27,12.5,6.3,18.0,,,24.0,4.8,33.3,1028.5,,A_GUARDA
2019-04-28,15.0,9.4,20.6,,,29.0,4.5,24.1,1022.1,,A_GUARDA
2019-04-29,13.8,9.5,17.5,,,1.0,5.5,35.2,1019.1,,A_GUARDA
2019-04-30,13.9,8.8,18.5,,,,5.6,37.0,1018.3,,A_GUARDA
2019-05-01,15.7,10.6,20.9,,,2.0,5.9,40.8,1014.7,,A_GUARDA
2019-05-02,16.7,10.7,22.2,,,33.0,5.9,31.5,1013.9,,A_GUARDA
2019-05-03,16.9,12.2,21.5,,,31.0,7.2,37.0,1012.8,,A_GUARDA
2019-05-04,16.0,11.0,20.9,,,36.0,5.8,27.8,1014.1,,A_GUARDA
2019-05-05,15.8,11.0,21.6,,,66.0,5.3,24.1,1016.3,,A_GUARDA
2019-05-06,14.4,12.3,17.2,,,,3.4,24.1,1019.7,,A_GUARDA
2019-05-07,15.3,13.3,17.6,,,277.0,8.0,37.0,1016.4,,A_GUARDA
2019-05-08,15.2,13.2,16.3,,,287.0,10.2,42.6,1013.4,,A_GUARDA
2019-05-09,14.5,12.4,16.2,,,271.0,7.9,38.9,1013.3,,A_GUARDA
2019-05-10,15.9,12.7,17.4,,,,6.9,29.6,1016.6,,A_GUARDA
2019-05-11,15.7,10.5,20.8,,,36.0,4.7,31.5,1023.1,,A_GUARDA
2019-05-12,20.1,13.5,27.3,,,95.0,7.5,29.6,1021.4,,A_GUARDA
2019-05-13,20.6,14.1,26.6,,,76.0,7.0,29.6,1018.8,,A_GUARDA
