municipio,lat,lon
San Cristovo De Cea,42.5009974,-7.9415413
San Sadurniño,43.5310797,-8.0531845
San Xoán De Río,42.3822986,-7.3002329
Sandiás,42.1106859,-7.7577611
Santa Comba,43.0339953,-8.8066593
Santiago De Compostela,42.8804219,-8.5458608
Santiso,42.8716243,-8.0643091
Sanxenxo,42.4003559,-8.8065952
Sarreaus,42.088126,-7.6038003
Sarria (Lugo),42.7784203,-7.4146607
Silleda,42.697981,-8.2466373
Sober,42.4618386,-7.5869336
Sobrado (A Coruña),43.0403957,-8.0224927
Soutomaior,42.3386253,-8.5726276
Taboada,42.7156699,-7.7629848
Taboadela,42.2406812,-7.8253132
Teo,42.7936431,-8.5507166
Tomiño,41.9960109,-8.731412
Toques,42.9692523,-7.955717
Tordoia,43.0871726,-8.5471339
Touro,42.8606882,-8.3097928
Toén,42.3167247,-7.9545534
Trabada,43.4471608,-7.1942852
Trasmiras,42.0232495,-7.6156761
Trazo,43.0109245,-8.5292952
Triacastela,42.7563403,-7.2397461
Tui,42.0501375,-8.6466411
Val Do Dubra,43.0234692,-8.6578307
Valdoviño,43.6068643,-8.143537
Valga,42.6892659,-8.6481157
Vedra,42.7861296,-8.4276067
Verea,42.1000133,-7.9836179
Verín,41.9406091,-7.4406032
Viana Do Bolo,42.1804436,-7.1132213
Vigo,42.2376602,-8.7247205
Vila De Cruces,42.7937228,-8.1699391
Vilaboa,42.3433945,-8.6641497
Vilagarcía De Arousa,42.5950502,-8.7430537
Vilalba,43.2962819,-7.6787671
Vilamartín De Valdeorras,42.4423009,-7.0646314
Vilamarín,42.4647271,-7.8909745
Vilanova De Arousa,42.5622257,-8.8265651
Vilar De Barrio,42.1602913,-7.611113
Vilar De Santos,42.0871643,-7.7945799
Vilardevós,41.9073842,-7.312875
Vilariño De Conso,42.1661767,-7.1826752
Vilarmaior,43.3550745,-8.1386449
Vilasantar,43.0759221,-8.0958382
Vimianzo,43.1102989,-9.0327488
Viveiro,43.6621866,-7.5955019
Xermade,43.355072,-7.8122096
Xinzo De Limia,42.0637882,-7.7245498
Xove,43.6851765,-7.5115144
Xunqueira De Ambía,42.2050642,-7.7351732
Xunqueira De Espadanedo,42.3183776,-7.6294622
Zas,43.0975071,-8.9165734
