municipio,lat,lon
A Arnoia,42.2525909,-8.1293297
A Baña,42.96155,-8.7534844
A Bola,42.1440451,-7.8944266
A Capela,43.4420677,-8.0434005
A Cañiza,42.2158506,-8.2790051
A Coruña,43.3709703,-8.3959425
A Estrada,42.6880102,-8.4907139
A Fonsagrada,43.1248311,-7.0676605
A Guarda,41.9012451,-8.8742166
A Gudiña,42.0605483,-7.1403516
A Illa De Arousa,42.550039,-8.8671561
A Lama,42.4153636,-8.3865621
A Laracha,43.2484663,-8.5816182
A Merca,42.222633,-7.9049545
A Mezquita,42.0114543,-7.0451474
A Pastoriza,43.2951144,-7.372277
A Peroxa,42.4397824,-7.7955674
A Pobra De Trives,42.3405898,-7.2547833
A Pobra Do Brollón,42.5564957,-7.3921684
A Pobra Do Caramiñal,42.6046249,-8.9402045
A Pontenova,43.3478304,-7.1922195
A Rúa,42.3952755,-7.1141649
A Teixeira,42.3911832,-7.472801
A Veiga,42.2507678,-7.0260508
Abadín,43.3637307,-7.4752562
Abegondo,43.2273169,-8.2887175
Agolada,42.762592,-8.0184167
Alfoz,43.5046142,-7.4274459
Allariz,42.1893161,-7.8019484
Ames,42.8907624,-8.6722375
Amoeiro,42.4142102,-7.9486807
Antas De Ulla,42.7822537,-7.8896857
Aranga,43.2230734,-8.0124434
Arbo,42.1201334,-8.3182402
Ares,43.4263299,-8.2440387
Arteixo,43.3045943,-8.508275
Arzúa,42.9279921,-8.1605667
As Neves,42.0882235,-8.4148446
As Nogais,42.8089027,-7.1089861
As Pontes De García Rodríguez,43.4501237,-7.8530971
As Somozas,43.5274722,-7.9215955
Avión,42.3873019,-8.2655242
Baiona,42.1195339,-8.8501649
Baleira,43.0540025,-7.2280739
Baltar,41.9509014,-7.7157653
Bande,42.0316148,-7.9749081
Baralla,42.8936084,-7.2500667
Barbadás,42.301551,-7.8872314
Barreiros,43.514168,-7.2505546
Barro,42.5210289,-8.6394501
Baños De Molgas,42.2418656,-7.6727944
Beade,42.3292437,-8.1276551
Beariz,42.4661998,-8.2707274
Becerreá,42.8544959,-7.1616043
Begonte,43.150149,-7.6851632
Bergondo,43.312425,-8.2470197
Betanzos,43.279239,-8.2105792
Boborás,42.4317763,-8.1430006
Boimorto,43.012561,-8.1387648
Boiro,42.6462941,-8.8858718
Boqueixón,42.8329263,-8.4432792
Brión,42.8548393,-8.7444082
Bueu,42.3272768,-8.7863966
Burela,43.6606329,-7.3587521
Bóveda,42.6240523,-7.4847221
Cabana De Bergantiños,43.1898483,-8.9142226
Cabanas,43.4186891,-8.1609242
Caldas De Reis,42.6041056,-8.6421712
Calvos De Randín,41.9250298,-7.8590989
Camariñas,43.1310578,-9.1825585
Cambados,42.51439,-8.8138414
Cambre,43.2923291,-8.3444415
Campo Lameiro,42.5379231,-8.5101215
Cangas,42.2647235,-8.7796487
Carballeda De Avia,42.3208186,-8.1648727
Carballeda De Valdeorras,42.3439743,-6.8491007
Carballedo,42.530768,-7.8055203
Cariño,43.7412174,-7.8698084
Carnota,42.821959,-9.0878032
Carral,43.2297016,-8.3558882
Cartelle,42.2378413,-8.0327765
Castrelo De Miño,42.2965639,-8.0656784
Castrelo Do Val,41.9905158,-7.4232094
Castro Caldelas,42.3725684,-7.3990415
Castro De Rei,43.2096671,-7.4004155
Castroverde,43.0300837,-7.3268933
Catoira,42.6672017,-8.7218548
Cedeira,43.6602391,-8.0546995
Cee (A Coruña),42.9575581,-9.1917202
Celanova,42.1523149,-7.9580863
Cenlle,42.3417695,-8.0940135
Cerdedo,42.5503595,-8.4072896
Cerdedo-Cotobade,42.5503595,-8.4072896
Cerdido,43.6042951,-7.9654062
Cervantes (Lugo),42.8270064,-6.9617665
Cervo,43.6696977,-7.4095553
Chandrexa De Queixa,42.2592799,-7.3776155
Chantada,42.6096223,-7.7705862
Coirós,43.2461745,-8.1471228
Coles,42.407477,-7.8397499
Corcubión,42.9444958,-9.1942141
Coristanco,43.163483,-8.7581487
Cortegada,42.2072732,-8.170081
Cospeito,43.2171022,-7.5627763
Cotobade,42.4739105,-8.4751142
Covelo,42.2683939,-8.3527426
Crecente,42.1516954,-8.2239168
Cualedro,41.9885728,-7.593898
Culleredo,43.2884816,-8.3894589
Cuntis,42.6353362,-8.5617942
Curtis,43.1269872,-8.1432398
Dodro,42.7213024,-8.7203857
Dozón,42.5950221,-8.0473457
Dumbría,43.0104042,-9.1179528
Entrimo,41.9537793,-8.134253
Esgos,42.3253312,-7.6960375
Fene,43.473674,-8.1625614
Ferrol,43.4845713,-8.2329968
Fisterra,42.9064771,-9.263789
Folgoso Do Courel,42.5882486,-7.1925449
Forcarei,42.5900309,-8.3509643
Fornelos De Montes,42.3278337,-8.4353139
Foz,43.5688659,-7.2550407
Frades,43.0494377,-8.2837139
Friol,43.0303761,-7.7939267
Gomesende,42.1890051,-8.1013586
Gondomar,42.1107672,-8.7620688
Guitiriz,43.1807643,-7.8942672
Guntín,42.900644,-7.6583307
Irixoa,43.2877953,-8.0491191
Lalín,42.6614127,-8.1109759
Larouco,42.3466038,-7.1632358
Laxe,43.2219125,-9.0059393
Laza,42.0604757,-7.4612117
Leiro,42.3701611,-8.1248862
Lobera,42.2813898,-8.4497891
Lobios,41.9039061,-8.0599771
Lourenzá,43.459566,-7.2850512
Lousame,42.7733607,-8.8329571
Lugo,43.0396042,-7.4566072
Láncara,42.8503989,-7.3855767
Maceda,42.2708159,-7.6508391
Malpica De Bergantiños,43.2984388,-8.8247606
Manzaneda,42.3098629,-7.2350007
Marín,42.3922393,-8.7029421
Maside,42.4121455,-8.0261462
Mazaricos,42.9279499,-8.9941429
Mañón,43.6696235,-7.7250321
Meaño,42.4529577,-8.7915587
Meira,43.2135737,-7.2936633
Meis,42.4996133,-8.7249365
Mellid,43.3531049,-8.3993318
Melón,42.2589852,-8.2137609
Mesía,43.0886943,-8.2156017
Miño,43.3578653,-8.1792627
Moaña,42.2816553,-8.7356868
Moeche,43.5621201,-7.971905
Mondariz,42.2329417,-8.4548756
Mondariz-Balneario,42.2194134,-8.4713577
Mondoñedo,43.4296687,-7.3638814
Monfero,43.3453112,-7.9871574
Monforte De Lemos,42.5236693,-7.5096951
Montederramo,42.2752812,-7.5027103
Monterrei,41.9467657,-7.4491474
Monterroso,42.7918646,-7.8357837
Moraña,42.5625535,-8.5851562
Mos,42.1879926,-8.6262198
Mugardos,43.4618239,-8.2571246
Muras,43.4677732,-7.7297943
Muros (A Coruña),42.7744106,-9.0575351
Muxía,43.1071193,-9.2181926
Muíños,41.9368705,-7.9800073
Narón,43.5010981,-8.1923091
Navia De Suarna,42.9644848,-6.9567894
Neda,43.5002779,-8.1582467
Negreira,42.9109711,-8.7349564
Negueira De Muñiz,43.1316796,-6.8907124
Nigrán,42.1405445,-8.8070821
Nogueira De Ramuín,42.4029156,-7.7057075
Noia,42.7850763,-8.8877375
O Barco De Valdeorras,42.4301028,-6.9801028
O Bolo,42.3069457,-7.0994897
O Carballiño,42.4300001,-8.0780235
O Corgo,42.9428295,-7.4298314
O Grove,42.4693872,-8.8949654
O Incio,42.6663997,-7.3632245
O Irixo,42.5123164,-8.1182265
O Pereiro De Aguiar,42.3463433,-7.8002637
O Pino,42.9454899,-8.3502207
O Porriño,42.1618812,-8.6202683
O Páramo,42.8351238,-7.5113208
O Rosal,41.9367189,-8.8256755
O Saviñao,42.6449477,-7.6394859
O Valadouro,43.534559,-7.484288
O Vicedo,43.7323276,-7.6736775
Oia,42.031505,-8.8444098
Oleiros,43.3548372,-8.3290882
Ordes,43.076756,-8.407816
Oroso,43.0000895,-8.379909
Ortigueira,43.6843141,-7.8543679
Os Blancos,41.9976233,-7.7522894
Ourense,42.1939629,-7.537124
Ourol,43.5640334,-7.6425182
Outeiro De Rei,43.1024649,-7.6136338
Outes,42.8455717,-8.9140816
Oza-Cesuras,43.1931321,-8.1812707
Oímbra,41.8857802,-7.4715679
Paderne,43.2961787,-8.1562189
Paderne De Allariz,42.2737426,-7.7463419
Padrenda,42.119224,-8.1557789
Padrón,42.7390228,-8.6602504
Palas De Rei,42.8739125,-7.8697964
Pantón,42.5085938,-7.6423646
Parada De Sil,42.3826196,-7.5685853
Paradela,42.764594,-7.567601
Pazos De Borbén,42.2849584,-8.5300479
Pedrafita Do Cebreiro,42.7266132,-7.0216754
Petín,42.3823388,-7.1263643
Piñor,42.4983947,-8.0051658
Poio,42.4419456,-8.6921884
Pol,43.1428167,-7.3218891
Ponte Caldelas,42.3888113,-8.501742
Ponteareas,42.1741836,-8.5050427
Ponteceso,43.2428181,-8.9005051
Pontecesures,42.7169942,-8.6438448
Pontedeume,43.4072585,-8.1718823
Pontedeva,42.1677078,-8.1368317
Pontevedra,42.4318876,-8.6431592
Porquera,,
Portas,42.5639366,-8.6570848
Porto Do Son,42.726023,-9.0049123
Portomarín,42.808161,-7.6156139
Punxín,42.3672516,-8.0099031
Quintela De Leirado,42.1394755,-8.1002451
Quiroga,42.4751472,-7.2697796
Rairiz De Veiga,42.0827533,-7.8331457
Ramirás,42.1844735,-8.0271836
Redondela,42.284221,-8.6085992
Rianxo,42.6488711,-8.8173676
Ribadavia,42.2880044,-8.1429521
Ribadeo,43.5361589,-7.0436775
Ribadumia,42.51333,-8.7537606
Ribas De Sil,42.4292881,-7.2643601
Ribeira,42.5778204,-9.0083426
Ribeira De Piquín,43.1984971,-7.2003195
Riotorto,43.3248159,-7.2732093
Riós,41.9754084,-7.2665824
Rodeiro,42.6490377,-7.9481672
Rois,42.788576,-8.7201919
Rubiá,42.4494484,-6.9450653
Rábade,43.1222814,-7.6228675
Sada,43.3515799,-8.2534683
Salceda De Caselas,42.1068416,-8.5620619
Salvaterra De Miño,42.1081233,-8.4897937
Samos,42.730661,-7.3265903
San Amaro,42.3734131,-8.0720856
San Cibrao Das Viñas,42.2964763,-7.8723141
