municipio,comarca,provincia,altitud,superficie,poblacion,densidad
Cangas,Comarca de El Morrazo,Provincia de Pontevedra,9,"38,08",26.542,"697,01"
Carballeda de Avia,Comarca del Ribeiro,Provincia de Ourense,249,"46,37",1.286,"27,73"
Carballeda de Valdeorras,Comarca de Valdeorras,Provincia de Ourense,600,"222,69",1.545,"6,94"
Carballedo,Chantada,Provincia de Lugo,800,"138,85",2.193,"15,79"
Cariño,Comarca de Ortegal,Provincia de A Coruña,613,"47,19",3.838,"81,33"
Carnota,Comarca de Muros,Provincia de A Coruña,700,"70,9",3.957,"55,81"
Carral,A Coruña,Provincia de A Coruña,130,"48,03",6.408,"133,42"
Cartelle,Comarca de Tierra de Celanova,Provincia de Ourense,360,"94,29",2.642,"28,02"
Castrelo de Miño,Comarca del Ribeiro,Provincia de Ourense,159,"39,74",1.349,"33,95"
Castrelo do Val,Comarca de Verín,Provincia de Ourense,419,"122,05",984,"8,06"
Castro Caldelas,Comarca de Tierra de Caldelas,Provincia de Ourense,763,"87,61",1.224,"13,97"
Castro de Rei,Tierra Llana (Lugo),Provincia de Lugo,444,"176,97",5.052,"28,55"
Castroverde,Lugo,Provincia de Lugo,700,"174,15",2.617,"15,03"
Catoira,Comarca de Caldas,Provincia de Pontevedra,67,"29,44",3.335,"113,28"
Cedeira,Comarca de Ferrol,Provincia de A Coruña,137,"85,42",6.640,"77,73"
Cee (A Coruña),Comarca de Finisterre,Provincia de A Coruña,,"57,45",7.546,"131,35"
Celanova,Comarca de Tierra de Celanova,Provincia de Ourense,530,"67,31",5.649,"83,93"
Cenlle,,Provincia de Ourense,117,"29,03",1.120,"38,58"
Cerdedo,,Provincia de Pontevedra,,80,,
Cerdedo-Cotobade,Comarca de Pontevedra,Provincia de Pontevedra,,"213,27",5.699,"26,72"
Cerdido,Comarca de Ortegal,Provincia de A Coruña,240,"52,72",1.113,"21,11"
Cervantes (Lugo),Los Ancares Lucenses,Provincia de Lugo,624,"277,63",1.338,"4,82"
Cervo,Mariña Occidental,Provincia de Lugo,465,"77,86",4.227,"54,29"
Chandrexa de Queixa,Comarca de Tierra de Trives,Provincia de Ourense,993,"171,81",456,"2,65"
Chantada,Comarca de Chantada,Provincia de Lugo,36,"176,73",8.192,"46,35"
Coirós,Betanzos,Provincia de A Coruña,389,"33,6",1.824,"54,29"
Coles,Comarca de Orense,Provincia de Ourense,386,"38,11",3.050,"80,03"
Corcubión,Comarca de Fisterra,Provincia de A Coruña,,"6,52",1.589,"243,71"
Coristanco,Bergantiños,Provincia de A Coruña,,"141,28",6.074,"42,99"
Cortegada,Comarca del Ribeiro,Provincia de Ourense,50,"26,89",1.085,"40,35"
Cospeito,Tierra Llana (Lugo),Provincia de Lugo,762,"144,79",4.484,"30,97"
Cotobade,Comarca de Pontevedra,Provincia de Pontevedra,392,"135,2",,
Covelo,Comarca de Paradanta,Provincia de Pontevedra,384,"134,7",2.396,"17,79"
Crecente,,Provincia de Pontevedra,,"57,46",2.012,"35,02"
Cualedro,Comarca de Verín,Provincia de Ourense,843,"117,77",1.679,"14,26"
Culleredo,Comarca de La Coruña,Provincia de A Coruña,570,"61,73",30.402,"492,5"
Cuntis,,Provincia de Pontevedra,200,"79,88",4.677,"58,55"
Curtis,Betanzos,Provincia de A Coruña,490,"116,7",3.983,"34,13"
Dodro,Comarca del Sar,Provincia de A Coruña,20,"36,12",2.768,"76,63"
Dozón,Comarca del Deza,Provincia de Pontevedra,,"74,23",1.082,"14,58"
Dumbría,Comarca de Finisterre,Provincia de A Coruña,,"125,19",2.983,"23,83"
Entrimo,Baixa Limia,Provincia de Ourense,"511,4","84,52",1.140,"13,49"
Esgos,Comarca de Orense,Provincia de Ourense,580,"37,79",1.116,"29,53"
Fene,Ferrol,Provincia de A Coruña,395,"26,31",12.944,"491,98"
Ferrol,Comarca de Ferrol,Provincia de A Coruña,0,"82,65",66.065,"799,33"
Fisterra,Comarca de Finisterre,Provincia de A Coruña,,"29,43",4.708,"159,97"
Folgoso do Courel,,Provincia de Lugo,612,"193,32",1.024,"5,3"
Forcarei,,Provincia de Pontevedra,,"169,66",3.388,"19,97"
Fornelos de Montes,Comarca de Vigo,Provincia de Pontevedra,412,"79,01",1.616,"20,45"
Foz,Comarca de A Mariña,Provincia de Lugo,5,"100,29",9.980,"99,51"
Frades,Órdenes,Provincia de A Coruña,,"81,56",2.339,"28,68"
Friol,Comarca de Lugo,Provincia de Lugo,481,"292,29",3.744,"12,81"
Gomesende,Comarca de Tierra de Celanova,Provincia de Ourense,445,"28,31",732,"25,86"
Gondomar,Comarca de Vigo,Provincia de Pontevedra,15,"74,51",14.286,"191,73"
Guitiriz,Tierra Llana (Lugo),Provincia de Lugo,445,"293,97",5.484,"18,65"
Guntín,Lugo,Provincia de Lugo,,"154,78",2.690,"17,38"
Irixoa,Betanzos,Provincia de A Coruña,,"68,59",1.334,"19,45"
Lalín,,Provincia de Pontevedra,541,"326,83",20.218,"61,86"
Larouco,Comarca de Valdeorras,Provincia de Ourense,542,"23,69",429,"18,11"
Laxe,Bergantiños,Provincia de A Coruña,,"36,78",3.016,82
Laza,Comarca de Verín,Provincia de Ourense,482,"215,91",1.228,"5,69"
Leiro,Comarca del Ribeiro,Provincia de Ourense,90,"38,25",1.568,"40,99"
Lobera,Baixa Limia,Provincia de Ourense,698,"68,88",798,"11,59"
Lobios,Baixa Limia,Provincia de Ourense,387,"168,38",1.708,"10,14"
Lourenzá,Mariña Central,Provincia de Lugo,726,"62,64",2.140,"34,16"
Lousame,Comarca de Noya,Provincia de A Coruña,20,"93,65",3.338,"35,64"
Lugo,Comarca de Lugo,Provincia de Lugo,465,"329,78",98.276,298
Láncara,Sarrià,Provincia de Lugo,378,"121,61",2.605,"21,42"
Maceda,,Provincia de Ourense,536,"101,93",2.872,"28,18"
Malpica de Bergantiños,Bergantiños,Provincia de A Coruña,387,"61,22",5.391,"88,06"
Manzaneda,Comarca de Tierra de Trives,Provincia de Ourense,657,"114,57",870,"7,59"
Marín,Comarca del Morrazo,Provincia de Pontevedra,14,"36,66",24.319,"663,37"
Maside,Comarca de Maside,Provincia de Ourense,378,"40,04",2.705,"67,56"
Mazaricos,Comarca del Xallas,Provincia de A Coruña,310,"187,3",3.885,"20,74"
Mañón,Comarca de Ortegal,Provincia de A Coruña,407,"82,21",1.356,"16,49"
Meaño,Salnés,Provincia de Pontevedra,,"27,77",5.272,"189,85"
Meira,Comarca de Meira,Provincia de Lugo,480,"46,55",1.725,"37,06"
Meis,Comarca del Salnés,Provincia de Pontevedra,55,"52,39",4.791,"91,45"
Mellid,Comarca de Tierra de Mellid,Provincia de A Coruña,454,"101,3",7.406,"73,11"
Melón,Comarca del Ribeiro,Provincia de Ourense,,"53,25",1.184,"22,23"
Mesía,,Provincia de A Coruña,"107,7","107,21",2.530,"23,6"
Miño,Comarca de Betanzos,Provincia de A Coruña,10,"32,97",6.200,"188,05"
Moaña,Comarca del Morrazo,Provincia de Pontevedra,133,"35,06",19.399,"553,31"
Moeche,Ferrol,Provincia de A Coruña,,"48,5",1.226,"25,28"
Mondariz,Comarca del Condado,Provincia de Pontevedra,114,"82,33",4.440,"53,93"
Mondariz-Balneario,,Provincia de Pontevedra,758,"2,31",644,"278,79"
Mondoñedo,La Mariña Central,Provincia de Lugo,141,"142,69",3.568,"25,01"
Monfero,Eume,Provincia de A Coruña,,"171,67",1.932,"11,25"
Monforte de Lemos,Terra de Lemos,Provincia de Lugo,360,"199,52",18.433,"92,39"
Montederramo,Comarca de Tierra de Caldelas,Provincia de Ourense,904,"135,57",711,"5,24"
Monterrei,Comarca de Verín,Provincia de Ourense,521,"119,11",2.529,"21,23"
Monterroso,Comarca de Ulloa,Provincia de Lugo,504,"114,59",3.616,"31,56"
Moraña,,Provincia de Pontevedra,320,"41,24",4.179,"101,33"
Mos,Comarca de Vigo,Provincia de Pontevedra,399,"53,29",15.078,"282,94"
Mugardos,Comarca de Ferrol,Provincia de A Coruña,2,"12,77",5.245,"410,73"
Muras,Terra Chá,Provincia de Lugo,,"163,82",642,"3,92"
Muros (A Coruña),Comarca de Muros,Provincia de A Coruña,581,"72,91",8.556,"117,35"
Muxía,Comarca de Finisterre,Provincia de A Coruña,,"121,19",4.657,"38,43"
Muíños,Baixa Limia,Provincia de Ourense,680,"109,56",1.502,"13,71"
Narón,Comarca de Ferrol,Provincia de A Coruña,26,"66,91",39.080,"584,07"
Navia de Suarna,Comarca de Los Ancares,Provincia de Lugo,290,"243,85",1.081,"4,43"
Neda,,Provincia de A Coruña,758,"24,46",5.079,"207,65"
Negreira,Barcala,Provincia de A Coruña,297,"115,1",6.827,"59,31"
Negueira de Muñiz,Fonsagrada,Provincia de Lugo,,"72,27",215,"2,97"
Nigrán,Comarca de Vigo,Provincia de Pontevedra,350,"34,77",17.675,"508,34"
Nogueira de Ramuín,Comarca de Orense,Provincia de Ourense,660,"98,31",1.998,"20,32"
Noia,Comarca de Noya,Provincia de A Coruña,10,"37,21",14.263,"383,31"
O Barco de Valdeorras,Valdeorras,Provincia de Ourense,325,"85,43",13.395,"156,8"
O Bolo,Comarca de Valdeorras,Provincia de Ourense,785,"91,17",884,"9,7"
O Carballiño,,Provincia de Ourense,397,"54,33",14.027,"258,18"
O Corgo,Lugo,Provincia de Lugo,"157,3","157,39",3.481,"22,12"
O Grove,Salnés,Provincia de Pontevedra,4,"21,89",10.650,"486,52"
O Incio,Comarca de Sarria,Provincia de Lugo,740,"146,09",1.570,"10,75"
O Irixo,Comarca de Carballino,Provincia de Ourense,546,"121,05",1.466,"12,11"
O Pereiro de Aguiar,,Provincia de Ourense,300,"60,89",6.275,"103,05"
O Pino,Comarca de Arzúa,Provincia de A Coruña,287,"132,15",4.641,"35,12"
O Porriño,Comarca de Vigo,Provincia de Pontevedra,109,"61,17",19.848,"324,47"
O Páramo,Comarca de Sarria,Provincia de Lugo,,"74,8",1.366,"18,26"
O Rosal,Bajo Miño,Provincia de Pontevedra,276,"44,13",6.234,"141,26"
O Saviñao,Tierra de Lemos,Provincia de Lugo,600,"196,55",3.735,19
O Valadouro,La Mariña Central,Provincia de Lugo,500,"110,45",1.991,"18,03"
O Vicedo,A Mariña Occidental,Provincia de Lugo,20,"75,96",1.675,"22,05"
Oia,Bajo Miño,Provincia de Pontevedra,3,"83,3",3.053,"36,65"
Oleiros,Comarca de La Coruña,Provincia de A Coruña,,"43,66",36.075,"826,27"
Ordes,Comarca de Ordes,Provincia de A Coruña,292,"157,23",12.674,"80,61"
Oroso,Comarca de Órdenes,Provincia de A Coruña,,"72,59",7.500,"103,32"
Ortigueira,Comarca de Ortegal,Provincia de A Coruña,58,"209,6",5.671,"27,06"
Os Blancos,Comarca de La Limia,Provincia de Ourense,797,"47,56",766,"16,11"
Ourense,Comarca de Orense,Provincia de Ourense,145,"84,74",105.233,"1.241,83"
Ourol,Mariña Occidental,Provincia de Lugo,5,"142,07",1.018,"7,17"
Outeiro de Rei,Lugo,Provincia de Lugo,414,"134,2",5.151,"38,38"
Outes,Comarca de Noya,Provincia de A Coruña,,"99,74",6.282,"62,98"
Oza-Cesuras,Comarca de Betanzos,Provincia de A Coruña,389,"151,62",5.101,"33,64"
Oímbra,Comarca de Verín,Provincia de Ourense,419,"71,48",1.712,"23,95"
Paderne,Comarca de Betanzos,Provincia de A Coruña,156,"39,83",2.394,"60,11"
Paderne de Allariz,Comarca de Allariz - Maceda,Provincia de Ourense,536,"38,76",1.384,"35,71"
Padrenda,,Provincia de Ourense,340,"57,04",1.748,"30,65"
Padrón,,Provincia de A Coruña,,"48,37",8.384,"173,33"
Palas de Rei,Comarca de Ulloa,Provincia de Lugo,534,"199,68",3.388,"16,97"
Pantón,Terra de Lemos,Provincia de Lugo,330,"143,24",2.542,"17,75"
Parada de Sil,Comarca de Tierra de Caldelas,Provincia de Ourense,676,"62,43",538,"8,62"
Paradela,Comarca de Sarria,Provincia de Lugo,345,"121,12",1.779,"14,69"
Pazos de Borbén,Comarca de Vigo,Provincia de Pontevedra,,"49,99",2.999,"59,99"
Pedrafita do Cebreiro,Comarca de Los Ancares (Lugo),Provincia de Lugo,1.098,"104,91",1.001,"9,54"
Petín,Comarca de Valdeorras,Provincia de Ourense,300,"30,48",861,"28,25"
Piñor,Comarca de Carballino,Provincia de Ourense,570,"52,69",1.176,"22,32"
Poio,,Provincia de Pontevedra,91,"33,93",17.082,"503,45"
Pol,Comarca de Meira,Provincia de Lugo,505,"125,9",1.609,"12,78"
Ponte Caldelas,,Provincia de Pontevedra,,87,5.494,"63,15"
Ponteareas,Comarca del Condado,Provincia de Pontevedra,39,"125,53",22.877,"182,24"
Ponteceso,Bergantiños,Provincia de A Coruña,387,"91,97",5.502,"59,82"
Pontecesures,,Provincia de Pontevedra,,"6,69",3.052,"456,2"
Pontedeume,Comarca del Eume,Provincia de A Coruña,,"29,26",7.777,"265,79"
Pontedeva,Comarca de Tierra de Celanova,Provincia de Ourense,150,"9,86",511,"51,83"
Pontevedra,Comarca de Pontevedra,Provincia de Pontevedra,20,"118,47",83.029,"700,84"
Porquera,Comarca de La Limia,Provincia de Ourense,635,"43,4",815,"18,78"
Portas,,Provincia de Pontevedra,758,"22,71",2.940,"129,46"
Porto do Son,Comarca de Noya,Provincia de A Coruña,,"94,58",9.171,"96,97"
Portomarín,Comarca de Lugo,Provincia de Lugo,,"115,1",1.471,"12,78"
Punxín,Comarca de Carballino,Provincia de Ourense,145,"17,08",693,"40,57"
Quintela de Leirado,Comarca de Tierra de Celanova,Provincia de Ourense,360,"31,26",619,"19,8"
Quiroga,Comarca de Quiroga,Provincia de Lugo,267,"317,38",3.207,"10,1"
Rairiz de Veiga,Comarca de La Limia,Provincia de Ourense,622,"72,11",1.266,"17,56"
Ramirás,Comarca de Terra de Celanova,Provincia de Ourense,318,"40,66",1.584,"38,96"
Redondela,Comarca de Vigo,Provincia de Pontevedra,17,"52,08",29.218,"561,02"
Rianxo,Comarca del Barbanza,Provincia de A Coruña,4,"58,79",11.033,"187,67"
Ribadavia,Comarca del Ribeiro,Provincia de Ourense,95,"25,16",5.024,"199,68"
Ribadeo,Mariña Oriental,Provincia de Lugo,571,"109,14",9.854,"90,29"
Ribadumia,,Provincia de Pontevedra,,"19,71",5.052,"256,32"
Ribas de Sil,Comarca de Quiroga,Provincia de Lugo,240,"67,78",947,"13,97"
Ribeira,Comarca del Barbanza,Provincia de A Coruña,0,"68,83",26.886,"390,61"
Ribeira de Piquín,Comarca de Meira,Provincia de Lugo,480,"72,99",528,"7,23"
Riotorto,Comarca de Meira,Provincia de Lugo,190,"66,33",1.262,"19,03"
Riós,Comarca de Verín,Provincia de Ourense,809,"114,44",1.516,"13,25"
Rodeiro,,Provincia de Pontevedra,,"154,91",2.437,"15,73"
Rois,Comarca del Sar,Provincia de A Coruña,74,"92,93",4.512,"48,55"
Rubiá,Comarca de Valdeorras,Provincia de Ourense,549,"100,53",1.393,"13,86"
Rábade,Lugo,Provincia de Lugo,400,"5,17",1.501,"290,33"
Sada,Comarca de La Coruña,Provincia de A Coruña,,"27,49",15.841,"576,25"
Salceda de Caselas,Baixo Miño,Provincia de Pontevedra,55,"35,92",9.164,"255,12"
Salvaterra de Miño,Comarca del Condado,Provincia de Pontevedra,150,"62,54",9.819,157
Samos,Sarrià,Provincia de Lugo,700,"136,77",1.278,"9,34"
San Amaro,Comarca de Carballino,Provincia de Ourense,476,"29,03",1.089,"37,51"
San Cibrao das Viñas,Comarca de Orense,Provincia de Ourense,259,"39,48",5.405,"136,9"
San Cristovo de Cea,Comarca de Carballino,Provincia de Ourense,520,"94,44",2.137,"22,63"
San Sadurniño,Comarca de Ferrol,Provincia de A Coruña,,"98,98",2.822,"28,51"
San Xoán de Río,Comarca de Tierra de Trives,Provincia de Ourense,875,"61,14",531,"8,68"
Sandiás,Comarca de A Limia,Provincia de Ourense,630,"52,84",1.206,"22,82"
Santa Comba,Comarca del Xallas,Provincia de A Coruña,300,"203,7",9.426,"46,27"
Santiago de Compostela,Comarca de Santiago,Provincia de A Coruña,260,"220,01",97.260,"442,07"
Santiso,Comarca de Tierra de Mellid,Provincia de A Coruña,385,"67,39",1.584,"23,5"
Sanxenxo,O Salnés,Provincia de Pontevedra,0,"45,08",17.347,"384,8"
Sarreaus,Comarca de La Limia,Provincia de Ourense,650,"77,29",1.162,"15,03"
Sarria (Lugo),Comarca de Sarria,Provincia de Lugo,700,"184,62",13.330,"72,2"
Silleda,,Provincia de Pontevedra,524,"167,96",8.687,"51,72"
Sober,Terra de Lemos,Provincia de Lugo,600,"133,35",2.312,"17,34"
Sobrado (A Coruña),Comarca de Tierra de Mellid,Provincia de A Coruña,510,"120,57",1.758,"14,58"
Soutomaior,Comarca de Vigo,Provincia de Pontevedra,239,"24,99",7.395,"295,92"
Taboada,Chantada,Provincia de Lugo,540,"146,67",2.756,"18,79"
Taboadela,Comarca de Orense,Provincia de Ourense,386,"25,19",1.429,"56,73"
Teo,Comarca de Santiago,Provincia de A Coruña,"79,65","79,25",18.579,"234,44"
Tomiño,Bajo Miño,Provincia de Pontevedra,303,"106,61",13.450,"126,16"
Toques,Comarca de Tierra de Melide,Provincia de A Coruña,"78,49","77,93",1.124,"14,42"
Tordoia,Comarca de Órdenes,Provincia de A Coruña,,"124,55",3.299,"26,49"
Touro,Comarca de Arzúa,Provincia de A Coruña,500,"115,34",3.574,"30,99"
Toén,Comarca de Orense,Provincia de Ourense,356,"58,29",2.355,"40,4"
Trabada,La Mariña Oriental,Provincia de Lugo,571,"82,59",1.118,"13,54"
Trasmiras,Comarca de La Limia,Provincia de Ourense,654,"56,74",1.286,"22,66"
Trazo,Comarca de Órdenes,Provincia de A Coruña,320,"101,3",3.113,"30,73"
Triacastela,Comarca de Sarria,Provincia de Lugo,665,"51,18",641,"12,52"
Tui,Bajo Miño,Provincia de Pontevedra,44,"68,32",16.701,"244,45"
Val do Dubra,Comarca de Santiago,Provincia de A Coruña,0,"108,64",3.876,"35,68"
Valdoviño,Comarca de Ferrol,Provincia de A Coruña,243,"88,22",6.563,"74,39"
Valga,Comarca de Caldas,Provincia de Pontevedra,,"40,64",5.869,"144,41"
Vedra,Comarca de Santiago,Provincia de A Coruña,165,"52,78",5.036,"95,41"
Verea,Comarca de Terras de Celanova,Provincia de Ourense,730,"94,23",943,"10,01"
Verín,Comarca de Verín,Provincia de Ourense,373,"94,07",13.723,"145,88"
Viana do Bolo,Comarca de Viana,Provincia de Ourense,770,"270,41",2.886,"10,67"
Vigo,Comarca de Vigo,Provincia de Pontevedra,28,"109,06",295.364,"2.708,27"
Vila de Cruces,,Provincia de Pontevedra,827,"154,96",5.246,"33,85"
Vilaboa,,Provincia de Pontevedra,22,"36,9",5.874,"159,19"
Vilagarcía de Arousa,Salnés,Provincia de Pontevedra,0,"44,24",37.456,"846,65"
Vilalba,Terra Chá,Provincia de Lugo,480,"379,36",14.072,"37,09"
Vilamartín de Valdeorras,Comarca de Valdeorras,Provincia de Ourense,321,"88,26",1.790,"20,28"
Vilamarín,Comarca de Orense,Provincia de Ourense,506,"56,09",1.854,"33,05"
Vilanova de Arousa,,Provincia de Pontevedra,50,"33,65",10.302,"306,15"
Vilar de Barrio,Comarca de La Limia,Provincia de Ourense,660,"106,74",1.307,"12,24"
Vilar de Santos,Comarca da Limia,Provincia de Ourense,632,"20,7",820,"39,61"
Vilardevós,,Provincia de Ourense,743,"152,13",1.846,"12,13"
Vilariño de Conso,Comarca de Viana,Provincia de Ourense,740,"200,23",519,"2,59"
Vilarmaior,Comarca de Betanzos,Provincia de A Coruña,156,"30,35",1.226,"40,4"
Vilasantar,Comarca de Betanzos,Provincia de A Coruña,500,"59,17",1.213,"20,5"
Vimianzo,Comarca de Tierra de Soneira,Provincia de A Coruña,450,"187,27",7.057,"37,68"
Viveiro,Mariña Occidental,Provincia de Lugo,12,"109,34",15.466,"141,45"
Xermade,Comarca de la Tierra Llana,Provincia de Lugo,"166,6","166,27",1.806,"10,86"
Xinzo de Limia,Comarca de La Limia,Provincia de Ourense,621,"132,67",9.715,"73,23"
Xove,La Mariña Occidental,Provincia de Lugo,,"89,12",3.273,"36,73"
Xunqueira de Ambía,Comarca de Allariz - Maceda,Provincia de Ourense,534,"60,21",1.375,"22,84"
Xunqueira de Espadanedo,Comarca de Allariz - Maceda,Provincia de Ourense,679,"27,65",745,"26,94"
Zas,Comarca de Tierra de Soneira,Provincia de A Coruña,0,"133,29",4.472,"33,55"
