original	normalizado
PONTE_CALDELAS	ponte caldelas
PORTAS	portas
PORTOMARÍN	portomarín
PORTO_DO_SON	porto do son
PUNXÍN	punxín
QUINTELA_DE_LEIRADO	quintela de leirado
QUIROGA	quiroga
RAIRIZ_DE_VEIGA	rairiz de veiga
RAMIRÁS	ramirás
REDONDELA	redondela
RIANXO	rianxo
RIBADAVIA	ribadavia
RIBADEO	ribadeo
RIBADUMIA	ribadumia
RIBAS_DE_SIL	ribas de sil
RIBEIRA	ribeira
RIBEIRA_DE_PIQUÍN	ribeira de piquín
RIOTORTO	riotorto
RIÓS	riós
RODEIRO	rodeiro
ROIS	rois
RUBIÁ	rubiá
RÁBADE	rábade
SADA	sada
SALCEDA_DE_CASELAS	salceda de caselas
SALVATERRA_DE_MIÑO	salvaterra de miño
SAMOS	samos
SANDIÁS	sandiás
SANTA_COMBA	santa comba
SANTIAGO_DE_COMPOSTELA	santiago de compostela
SANTISO	santiso
SANXENXO	sanxenxo
SAN_AMARO	san amaro
SAN_CIBRAO_DAS_VIÑAS	san cibrao das viñas
SAN_CRISTOVO_DE_CEA	san cristovo de cea
SAN_SADURNIÑO	san sadurniño
SAN_XOÁN_DE_RÍO	san xoán de río
SARREAUS	sarreaus
SARRIA_(LUGO)	SARRIA_(LUGO)
SILLEDA	silleda
SOBER	sober
SOBRADO_(A_CORUÑA)	SOBRADO_(A_CORUÑA)
SOUTOMAIOR	soutomaior
TABOADA	taboada
TABOADELA	taboadela
TEO	teo
TOMIÑO	tomiño
TOQUES	toques
TORDOIA	tordoia
TOURO	touro
TOÉN	toén
TRABADA	trabada
TRASMIRAS	trasmiras
TRAZO	trazo
TRIACASTELA	triacastela
TUI	tui
VALDOVIÑO	valdoviño
VALGA	valga
VAL_DO_DUBRA	val do dubra
VEDRA	vedra
VEREA	verea
VERÍN	verín
VIANA_DO_BOLO	viana do bolo
VIGO	vigo
VILABOA	vilaboa
VILAGARCÍA_DE_AROUSA	vilagarcía de arousa
VILALBA	vilalba
VILAMARTÍN_DE_VALDEORRAS	vilamartín de valdeorras
VILAMARÍN	vilamarín
VILANOVA_DE_AROUSA	vilanova de arousa
VILARDEVÓS	vilardevós
VILARIÑO_DE_CONSO	vilariño de conso
VILARMAIOR	vilarmaior
VILAR_DE_BARRIO	vilar de barrio
VILAR_DE_SANTOS	vilar de santos
VILASANTAR	vilasantar
VILA_DE_CRUCES	vila de cruces
VIMIANZO	vimianzo
VIVEIRO	viveiro
XERMADE	xermade
XINZO_DE_LIMIA	xinzo de limia
XOVE	xove
XUNQUEIRA_DE_AMBÍA	xunqueira de ambía
XUNQUEIRA_DE_ESPADANEDO	xunqueira de espadanedo
ZAS	zas
