COMUNIDAD AUTÓNOMA,PROVINCIA,MUNICIPIO,PARTIDO POLITICO MUNICIPAL,FECHA POSESIÓN,FECHA BAJA
Galicia,Lugo                                              ,ABADIN,PP,03/07/1999,
Galicia,Lugo                                              ,ABADÍN,PP,14/06/2003,
Galicia,"Coruña, A                                         ",ABEGONDO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",ABEGONDO,PP,14/06/2003,27/09/2004
Galicia,"Coruña, A                                         ",ABEGONDO,PP,14/06/2003,27/09/2004
Galicia,"Coruña, A                                         ",ABEGONDO,PP,27/09/2004,
Galicia,Pontevedra                                        ,AGOLADA,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,AGOLADA,PP,14/06/2003,01/12/2005
Galicia,Pontevedra                                        ,AGOLADA,PP,01/12/2005,
Galicia,Lugo                                              ,ALFOZ,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,ALFOZ,PP,14/06/2003,
Galicia,Ourense                                           ,ALLARIZ,BNG,03/07/1999,01/09/2000
Galicia,Ourense                                           ,ALLARIZ,BNG,01/09/2000,14/06/2003
Galicia,Ourense                                           ,ALLARIZ,BNG,14/06/2003,
Galicia,"Coruña, A                                         ",AMES,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",AMES,PSOE,14/06/2003,
Galicia,Ourense                                           ,AMOEIRO,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,AMOEIRO,PP,14/06/2003,
Galicia,Lugo                                              ,ANTAS DE ULLA,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,ANTAS DE ULLA,PP,14/06/2003,
Galicia,"Coruña, A                                         ",ARANGA,PP,03/07/1999,25/05/2002
Galicia,"Coruña, A                                         ",ARANGA,PP,07/06/2002,14/06/2003
Galicia,"Coruña, A                                         ",ARANGA,PP,14/06/2003,
Galicia,Pontevedra                                        ,ARBO,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,ARBO,PP,14/06/2003,
Galicia,"Coruña, A                                         ",ARES,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",ARES,PP,14/06/2003,14/06/2003
Galicia,"Coruña, A                                         ",ARES,PP,14/06/2003,
Galicia,Ourense                                           ,ARNOIA (A),PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,ARNOIA (A),PP,14/06/2003,
Galicia,"Coruña, A                                         ",ARTEIXO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",ARTEIXO,PP,14/06/2003,
Galicia,"Coruña, A                                         ",ARZUA,PP,03/07/1999,
Galicia,"Coruña, A                                         ",ARZÚA,BNG,14/06/2003,
Galicia,Ourense                                           ,AVION,PP,03/07/1999,
Galicia,Ourense                                           ,AVIÓN,PP,14/06/2003,30/06/2005
Galicia,Ourense                                           ,AVIÓN,PP,30/06/2005,
Galicia,Lugo,Abadín,PP,16/06/2007,11/06/2011
Galicia,Lugo,Abadín,PP,11/06/2011,13/06/2015
Galicia,Lugo,Abadín,PP,13/06/2015,15/06/2019
Galicia,Lugo,Abadín,PP,15/06/2019,
Galicia,"Coruña, A",Abegondo,OTROS,16/06/2007,20/04/2009
Galicia,"Coruña, A",Abegondo,PP,20/04/2009,11/06/2011
Galicia,"Coruña, A",Abegondo,PP,11/06/2011,13/06/2015
Galicia,"Coruña, A",Abegondo,PP,13/06/2015,15/06/2019
Galicia,"Coruña, A",Abegondo,PP,15/06/2019,
Galicia,Pontevedra,Agolada,PP,16/06/2007,11/06/2011
Galicia,Pontevedra,Agolada,PP,11/06/2011,13/06/2015
Galicia,Pontevedra,Agolada,PP,13/06/2015,15/06/2019
Galicia,Pontevedra,Agolada,OTROS,15/06/2019,
Galicia,Lugo,Alfoz,PP,16/06/2007,11/06/2011
Galicia,Lugo,Alfoz,PP,11/06/2011,13/06/2015
Galicia,Lugo,Alfoz,PSOE,13/06/2015,15/06/2019
Galicia,Lugo,Alfoz,PSOE,15/06/2019,
Galicia,Ourense,Allariz,BNG,16/06/2007,11/06/2011
Galicia,Ourense,Allariz,BNG,11/06/2011,13/06/2015
Galicia,Ourense,Allariz,BNG,13/06/2015,15/06/2018
Galicia,Ourense,Allariz,BNG,21/06/2018,15/06/2019
Galicia,Ourense,Allariz,BNG,15/06/2019,
Galicia,"Coruña, A",Ames,PSOE,16/06/2007,11/06/2011
Galicia,"Coruña, A",Ames,PP,11/06/2011,13/06/2015
Galicia,"Coruña, A",Ames,PSOE,13/06/2015,15/06/2019
Galicia,"Coruña, A",Ames,PSOE,15/06/2019,29/03/2021
Galicia,"Coruña, A",Ames,PSOE,08/04/2021,
Galicia,Ourense,Amoeiro,PSOE,16/06/2007,11/06/2011
Galicia,Ourense,Amoeiro,PSOE,11/06/2011,13/06/2015
Galicia,Ourense,Amoeiro,PSOE,13/06/2015,29/04/2019
Galicia,Ourense,Amoeiro,PSOE,03/05/2019,15/06/2019
Galicia,Ourense,Amoeiro,PSOE,15/06/2019,
Galicia,Lugo,Antas de Ulla,PP,16/06/2007,11/06/2011
Galicia,Lugo,Antas de Ulla,PP,11/06/2011,13/06/2015
Galicia,Lugo,Antas de Ulla,PP,13/06/2015,15/06/2019
Galicia,Lugo,Antas de Ulla,PP,15/06/2019,
Galicia,"Coruña, A",Aranga,PP,16/06/2007,11/06/2011
Galicia,"Coruña, A",Aranga,PP,11/06/2011,13/06/2015
Galicia,"Coruña, A",Aranga,PP,13/06/2015,15/06/2019
Galicia,"Coruña, A",Aranga,PP,15/06/2019,
Galicia,Pontevedra,Arbo,PP,16/06/2007,11/06/2011
Galicia,Pontevedra,Arbo,BNG,11/06/2011,09/02/2012
Galicia,Pontevedra,Arbo,N.ADS.,09/02/2012,27/06/2014
Galicia,Pontevedra,Arbo,PP,27/06/2014,13/06/2015
Galicia,Pontevedra,Arbo,PP,13/06/2015,15/06/2019
Galicia,Pontevedra,Arbo,PP,15/06/2019,
Galicia,"Coruña, A",Ares,PSOE,16/06/2007,11/06/2011
Galicia,"Coruña, A",Ares,PSOE,11/06/2011,13/06/2015
Galicia,"Coruña, A",Ares,PSOE,13/06/2015,15/06/2019
Galicia,"Coruña, A",Ares,PSOE,15/06/2019,
Galicia,Ourense,"Arnoia, A",PP,17/11/2007,02/06/2009
Galicia,Ourense,"Arnoia, A",PP,02/06/2009,11/06/2011
Galicia,Ourense,"Arnoia, A",PP,11/06/2011,13/06/2015
Galicia,Ourense,"Arnoia, A",PP,13/06/2015,15/06/2019
Galicia,Ourense,"Arnoia, A",PP,15/06/2019,
Galicia,"Coruña, A",Arteixo,PSOE,16/06/2007,11/06/2011
