COMUNIDAD AUTÓNOMA,PROVINCIA,MUNICIPIO,PARTIDO POLITICO MUNICIPAL,FECHA POSESIÓN,FECHA BAJA
Galicia,"Coruña, A",Arteixo,PP,11/06/2011,13/06/2015
Galicia,"Coruña, A",Arteixo,PP,13/06/2015,15/06/2019
Galicia,"Coruña, A",Arteixo,PP,15/06/2019,
Galicia,"Coruña, A",Arzúa,BNG,16/06/2007,11/06/2011
Galicia,"Coruña, A",Arzúa,BNG,11/06/2011,13/06/2015
Galicia,"Coruña, A",Arzúa,OTROS,13/06/2015,15/06/2019
Galicia,"Coruña, A",Arzúa,OTROS,15/06/2019,
Galicia,Ourense,Avión,PP,16/06/2007,11/06/2011
Galicia,Ourense,Avión,PP,11/06/2011,13/06/2015
Galicia,Ourense,Avión,PP,13/06/2015,15/06/2019
Galicia,Ourense,Avión,PP,15/06/2019,
Galicia,Pontevedra                                        ,BAIONA,PSOE,03/07/1999,12/11/1999
Galicia,Pontevedra                                        ,BAIONA,IND,12/11/1999,14/06/2003
Galicia,Pontevedra                                        ,BAIONA,PSOE,14/06/2003,23/11/2004
Galicia,Pontevedra                                        ,BAIONA,PP,23/11/2004,
Galicia,Lugo                                              ,BALEIRA,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,BALEIRA,PP,14/06/2003,
Galicia,Ourense                                           ,BALTAR,PP,03/07/1999,14/07/2003
Galicia,Ourense                                           ,BALTAR,PSOE,14/07/2003,
Galicia,Ourense                                           ,BANDE,PP,03/07/1999,14/07/2003
Galicia,Ourense                                           ,BANDE,PP,14/07/2003,
Galicia,Lugo                                              ,BARALLA,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,BARALLA,PP,14/06/2003,
Galicia,Ourense                                           ,BARBADAS,PP,03/07/1999,
Galicia,Ourense                                           ,BARBADÁS,PP,14/06/2003,
Galicia,Ourense                                           ,BARCO DE VALDEORRAS (O),PSOE,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BARCO DE VALDEORRAS (O),PSOE,14/06/2003,
Galicia,Lugo                                              ,BARREIROS,PP,03/07/1999,22/09/2002
Galicia,Lugo                                              ,BARREIROS,PP,04/10/2002,14/06/2003
Galicia,Lugo                                              ,BARREIROS,PP,14/06/2003,23/05/2005
Galicia,Lugo                                              ,BARREIROS,PP,17/06/2005,
Galicia,Pontevedra                                        ,BARRO,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,BARRO,PP,14/06/2003,
Galicia,"Coruña, A                                         ",BAÑA (A),PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",BAÑA (A),PP,14/06/2003,
Galicia,Ourense                                           ,BAÑOS DE MOLGAS,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BAÑOS DE MOLGAS,PP,14/06/2003,
Galicia,Ourense                                           ,BEADE,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BEADE,PP,14/06/2003,
Galicia,Ourense                                           ,BEARIZ,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BEARIZ,PP,14/06/2003,
Galicia,Lugo                                              ,BECERREA,PP,03/07/1999,
Galicia,Lugo                                              ,BECERREÁ,PP,14/06/2003,
Galicia,Lugo                                              ,BEGONTE,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,BEGONTE,PP,14/06/2003,
Galicia,"Coruña, A                                         ",BERGONDO,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",BERGONDO,PSOE,14/06/2003,
Galicia,"Coruña, A                                         ",BETANZOS,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",BETANZOS,PSOE,14/06/2003,
Galicia,Ourense                                           ,BLANCOS (OS),PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BLANCOS (OS),PP,14/06/2003,
Galicia,Ourense                                           ,BOBORAS,PP,03/07/1999,
Galicia,Ourense                                           ,BOBORÁS,PP,14/06/2003,
Galicia,"Coruña, A                                         ",BOIMORTO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",BOIMORTO,IND,14/06/2003,
Galicia,"Coruña, A                                         ",BOIRO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",BOIRO,BNG,14/06/2003,
Galicia,Ourense                                           ,BOLA (A),PP,03/07/1999,07/12/2001
Galicia,Ourense                                           ,BOLA (A),PP,07/12/2001,14/06/2003
Galicia,Ourense                                           ,BOLA (A),IND,14/06/2003,
Galicia,Ourense                                           ,BOLO (O),PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,BOLO (O),PP,14/06/2003,
Galicia,"Coruña, A                                         ",BOQUEIXON,PP,03/07/1999,
Galicia,"Coruña, A                                         ",BOQUEIXÓN,PP,14/06/2003,
Galicia,Lugo                                              ,BOVEDA,PP,03/07/1999,
Galicia,"Coruña, A                                         ",BRION,IND,03/07/1999,
Galicia,"Coruña, A                                         ",BRIÓN,IND,14/06/2003,
Galicia,Pontevedra                                        ,BUEU,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,BUEU,BNG,14/06/2003,19/07/2004
Galicia,Pontevedra                                        ,BUEU,PP,19/07/2004,
Galicia,Lugo                                              ,BURELA,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,BURELA,PP,14/06/2003,17/03/2005
Galicia,Lugo                                              ,BURELA,PP,22/03/2005,
Galicia,Pontevedra,Baiona,PP,16/06/2007,11/06/2011
Galicia,Pontevedra,Baiona,PP,11/06/2011,13/06/2015
Galicia,Pontevedra,Baiona,PP,13/06/2015,07/10/2015
Galicia,Pontevedra,Baiona,PP,26/10/2015,15/06/2019
Galicia,Pontevedra,Baiona,PSOE,15/06/2019,
Galicia,Lugo,Baleira,PP,16/06/2007,11/06/2011
Galicia,Lugo,Baleira,PP,11/06/2011,26/05/2013
Galicia,Lugo,Baleira,PP,06/06/2013,13/06/2015
Galicia,Lugo,Baleira,PP,13/06/2015,15/06/2019
Galicia,Lugo,Baleira,PP,15/06/2019,
Galicia,Ourense,Baltar,PP,16/06/2007,11/06/2011
Galicia,Ourense,Baltar,PP,11/06/2011,13/06/2015
Galicia,Ourense,Baltar,PP,13/06/2015,15/06/2019
Galicia,Ourense,Baltar,PP,15/06/2019,
Galicia,Ourense,Bande,PP,16/06/2007,11/06/2011
Galicia,Ourense,Bande,PP,11/06/2011,13/06/2015
Galicia,Ourense,Bande,PP,13/06/2015,15/06/2019
Galicia,Ourense,Bande,PP,15/06/2019,02/03/2020
Galicia,Ourense,Bande,PP,30/05/2020,
Galicia,Lugo,Baralla,PP,16/06/2007,11/06/2011
Galicia,Lugo,Baralla,PP,11/06/2011,13/06/2015
Galicia,Lugo,Baralla,PP,13/06/2015,15/06/2019
Galicia,Lugo,Baralla,PP,15/06/2019,28/06/2019
Galicia,Lugo,Baralla,PP,07/10/2019,
Galicia,Ourense,Barbadás,PP,16/06/2007,11/06/2011
Galicia,Ourense,Barbadás,PP,11/06/2011,13/06/2015
Galicia,Ourense,Barbadás,PSOE,13/06/2015,15/06/2019
Galicia,Ourense,Barbadás,PSOE,15/06/2019,
Galicia,Ourense,"Barco de Valdeorras, O",PSOE,16/06/2007,11/06/2011
Galicia,Ourense,"Barco de Valdeorras, O",PSOE,11/06/2011,13/06/2015
Galicia,Ourense,"Barco de Valdeorras, O",PSOE,13/06/2015,15/06/2019
Galicia,Ourense,"Barco de Valdeorras, O",PSOE,15/06/2019,
Galicia,Lugo,Barreiros,PP,16/06/2007,11/06/2011
Galicia,Lugo,Barreiros,PP,11/06/2011,13/06/2015
Galicia,Lugo,Barreiros,PP,13/06/2015,15/06/2019
Galicia,Lugo,Barreiros,BNG,15/06/2019,
Galicia,Pontevedra,Barro,PP,16/06/2007,11/06/2011
Galicia,Pontevedra,Barro,PP,11/06/2011,13/06/2015
Galicia,Pontevedra,Barro,BNG,13/06/2015,15/06/2019
Galicia,Pontevedra,Barro,BNG,15/06/2019,
Galicia,"Coruña, A","Baña, A",PP,16/06/2007,11/06/2011
Galicia,"Coruña, A","Baña, A",PP,11/06/2011,13/06/2015
Galicia,"Coruña, A","Baña, A",PP,13/06/2015,15/06/2019
Galicia,"Coruña, A","Baña, A",PSOE,15/06/2019,12/12/2021
Galicia,"Coruña, A","Baña, A",PP,14/12/2021,
Galicia,Ourense,Baños de Molgas,PP,16/06/2007,11/06/2011
Galicia,Ourense,Baños de Molgas,PP,11/06/2011,13/06/2015
Galicia,Ourense,Baños de Molgas,BNG,13/06/2015,15/06/2019
Galicia,Ourense,Baños de Molgas,BNG,15/06/2019,
Galicia,Ourense,Beade,PP,16/06/2007,11/06/2011
Galicia,Ourense,Beade,PP,11/06/2011,13/06/2015
Galicia,Ourense,Beade,PP,13/06/2015,15/06/2019
Galicia,Ourense,Beade,PP,15/06/2019,
Galicia,Ourense,Beariz,PP,16/06/2007,11/06/2011
Galicia,Ourense,Beariz,PP,11/06/2011,13/06/2015
Galicia,Ourense,Beariz,PP,13/06/2015,15/06/2019
Galicia,Ourense,Beariz,PP,15/06/2019,
Galicia,Lugo,Becerreá,PSOE,16/06/2007,11/06/2011
Galicia,Lugo,Becerreá,PSOE,11/06/2011,13/06/2015
Galicia,Lugo,Becerreá,PSOE,13/06/2015,15/06/2019
Galicia,Lugo,Becerreá,OTROS,15/06/2019,
Galicia,Lugo,Begonte,OTROS,16/06/2007,11/06/2011
Galicia,Lugo,Begonte,PP,11/06/2011,13/06/2015
Galicia,Lugo,Begonte,PP,13/06/2015,15/06/2019
Galicia,Lugo,Begonte,PP,15/06/2019,
Galicia,"Coruña, A",Bergondo,PSOE,16/06/2007,18/05/2008
Galicia,"Coruña, A",Bergondo,PSOE,29/05/2008,11/06/2011
Galicia,"Coruña, A",Bergondo,PSOE,11/06/2011,13/06/2015
Galicia,"Coruña, A",Bergondo,PSOE,13/06/2015,15/06/2019
Galicia,"Coruña, A",Bergondo,PSOE,15/06/2019,
Galicia,"Coruña, A",Betanzos,PP,16/06/2007,11/06/2011
Galicia,"Coruña, A",Betanzos,PSOE,11/06/2011,13/06/2015
Galicia,"Coruña, A",Betanzos,PSOE,13/06/2015,24/07/2018
Galicia,"Coruña, A",Betanzos,PSOE,06/08/2018,15/06/2019
Galicia,"Coruña, A",Betanzos,PSOE,15/06/2019,
Galicia,Ourense,"Blancos, Os",OTROS,16/06/2007,10/12/2011
Galicia,Ourense,"Blancos, Os",OTROS,10/12/2011,13/06/2015
Galicia,Ourense,"Blancos, Os",PP,13/06/2015,15/06/2019
Galicia,Ourense,"Blancos, Os",PP,15/06/2019,
Galicia,Ourense,Boborás,PP,16/06/2007,11/06/2011
Galicia,Ourense,Boborás,PP,11/06/2011,13/06/2015
Galicia,Ourense,Boborás,PP,13/06/2015,15/06/2019
Galicia,Ourense,Boborás,PP,15/06/2019,
Galicia,"Coruña, A",Boimorto,PSOE,16/06/2007,11/06/2011
Galicia,"Coruña, A",Boimorto,PSOE,11/06/2011,22/05/2014
Galicia,"Coruña, A",Boimorto,PSOE,26/05/2014,13/06/2015
Galicia,"Coruña, A",Boimorto,BNG,13/06/2015,14/08/2015
Galicia,"Coruña, A",Boimorto,PP,14/08/2015,12/05/2016
Galicia,"Coruña, A",Boimorto,PP,20/05/2016,15/06/2019
Galicia,"Coruña, A",Boimorto,PP,15/06/2019,
Galicia,"Coruña, A",Boiro,BNG,16/06/2007,11/06/2011
Galicia,"Coruña, A",Boiro,PP,11/06/2011,13/06/2015
Galicia,"Coruña, A",Boiro,PP,13/06/2015,15/06/2019
Galicia,"Coruña, A",Boiro,PSOE,15/06/2019,
Galicia,Ourense,"Bola, A",BNG,16/06/2007,11/06/2011
Galicia,Ourense,"Bola, A",BNG,11/06/2011,13/06/2015
Galicia,Ourense,"Bola, A",PP,13/06/2015,15/06/2019
Galicia,Ourense,"Bola, A",PP,15/06/2019,
Galicia,Ourense,"Bolo, O",PP,16/06/2007,11/06/2011
Galicia,Ourense,"Bolo, O",PP,11/06/2011,13/06/2015
Galicia,Ourense,"Bolo, O",PP,13/06/2015,15/06/2019
Galicia,Ourense,"Bolo, O",PP,15/06/2019,
Galicia,"Coruña, A",Boqueixón,PP,16/06/2007,11/06/2011
Galicia,"Coruña, A",Boqueixón,PP,11/06/2011,25/09/2012
Galicia,"Coruña, A",Boqueixón,PP,08/10/2012,13/06/2015
Galicia,"Coruña, A",Boqueixón,PP,13/06/2015,18/11/2016
Galicia,"Coruña, A",Boqueixón,PP,08/12/2016,15/06/2019
Galicia,"Coruña, A",Boqueixón,PP,15/06/2019,
Galicia,"Coruña, A",Brión,PSOE,16/06/2007,11/06/2011
Galicia,"Coruña, A",Brión,PSOE,11/06/2011,13/06/2015
Galicia,"Coruña, A",Brión,PSOE,13/06/2015,15/06/2019
Galicia,"Coruña, A",Brión,PSOE,15/06/2019,09/09/2020
Galicia,"Coruña, A",Brión,PSOE,17/09/2020,
Galicia,Pontevedra,Bueu,BNG,16/06/2007,11/06/2011
Galicia,Pontevedra,Bueu,BNG,11/06/2011,13/06/2015
Galicia,Pontevedra,Bueu,BNG,13/06/2015,15/06/2019
Galicia,Pontevedra,Bueu,BNG,15/06/2019,
Galicia,Lugo,Burela,PSOE,16/06/2007,13/06/2011
Galicia,Lugo,Burela,PP,13/06/2011,13/06/2015
Galicia,Lugo,Burela,PSOE,13/06/2015,07/12/2019
Galicia,Lugo,Burela,PSOE,07/12/2019,
Galicia,Lugo                                              ,BÓVEDA,PP,14/06/2003,
Galicia,Lugo,Bóveda,PP,16/06/2007,11/06/2011
Galicia,Lugo,Bóveda,PP,11/06/2011,13/06/2015
Galicia,Lugo,Bóveda,PP,13/06/2015,15/06/2019
Galicia,Lugo,Bóveda,PP,15/06/2019,
Galicia,"Coruña, A                                         ",CABANA DE BERGANTIÑOS,PSOE,03/07/1999,20/06/2000
Galicia,"Coruña, A                                         ",CABANA DE BERGANTIÑOS,PSOE,20/06/2000,14/06/2003
Galicia,"Coruña, A                                         ",CABANA DE BERGANTIÑOS,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CABANAS,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CABANAS,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CALDAS DE REIS,PSOE,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CALDAS DE REIS,PSOE,14/06/2003,
Galicia,Ourense                                           ,CALVOS DE RANDIN,PP,03/07/1999,04/02/2000
Galicia,Ourense                                           ,CALVOS DE RANDIN,PP,05/02/2000,
Galicia,Ourense                                           ,CALVOS DE RANDÍN,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CAMARIÑAS,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CAMARIÑAS,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CAMBADOS,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CAMBADOS,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CAMBRE,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CAMBRE,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CAMPO LAMEIRO,PP,13/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CAMPO LAMEIRO,PP,14/06/2003,
Galicia,Pontevedra                                        ,CANGAS,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CANGAS,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CAPELA (A),PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CAPELA (A),PSOE,14/06/2003,
Galicia,Ourense                                           ,CARBALLEDA DE AVIA,PP,03/07/1999,03/03/2001
Galicia,Ourense                                           ,CARBALLEDA DE AVIA,PSOE,03/03/2001,14/06/2003
Galicia,Ourense                                           ,CARBALLEDA DE AVIA,IND,14/06/2003,
Galicia,Ourense                                           ,CARBALLEDA DE VALDEORRAS,IND,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CARBALLEDA DE VALDEORRAS,IND,14/06/2003,
Galicia,Lugo                                              ,CARBALLEDO,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CARBALLEDO,PP,14/06/2003,
Galicia,Ourense                                           ,CARBALLIÑO (O),PSOE,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CARBALLIÑO (O),PSOE,14/06/2003,12/05/2005
Galicia,Ourense                                           ,CARBALLIÑO (O),PSOE,18/05/2005,
Galicia,"Coruña, A                                         ",CARBALLO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CARBALLO,BNG,14/06/2003,
Galicia,"Coruña, A                                         ",CARIÑO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CARIÑO,PSOE,14/06/2003,
Galicia,"Coruña, A                                         ",CARNOTA,BNG,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CARNOTA,BNG,14/06/2003,
Galicia,"Coruña, A                                         ",CARRAL,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CARRAL,PSOE,14/06/2003,25/08/2003
Galicia,"Coruña, A                                         ",CARRAL,PP,25/08/2003,
Galicia,Ourense                                           ,CARTELLE,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CARTELLE,PP,14/06/2003,
Galicia,Ourense                                           ,CASTRELO DE MIÑO,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CASTRELO DE MIÑO,PP,14/06/2003,
Galicia,Ourense                                           ,CASTRELO DO VAL,PSOE,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CASTRELO DO VAL,PSOE,14/06/2003,02/09/2005
Galicia,Ourense                                           ,CASTRELO DO VAL,PSOE,16/09/2005,
Galicia,Ourense                                           ,CASTRO CALDELAS,PSOE,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CASTRO CALDELAS,PSOE,14/06/2003,
Galicia,Lugo                                              ,CASTRO DE REI,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CASTRO DE REI,PP,14/06/2003,
Galicia,Lugo                                              ,CASTROVERDE,PSOE,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CASTROVERDE,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CATOIRA,PSOE,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CATOIRA,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CAÑIZA (A),PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CAÑIZA (A),PP,14/06/2003,
Galicia,"Coruña, A                                         ",CEDEIRA,BNG,23/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CEDEIRA,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CEE,PSOE,03/07/1999,28/04/2001
Galicia,"Coruña, A                                         ",CEE,PP,11/05/2001,14/06/2003
Galicia,"Coruña, A                                         ",CEE,PP,14/06/2003,
Galicia,Ourense                                           ,CELANOVA,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CELANOVA,PP,14/06/2003,
Galicia,Ourense                                           ,CENLLE,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CENLLE,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CERCEDA,PSOE,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CERCEDA,PSOE,14/06/2003,
Galicia,Pontevedra                                        ,CERDEDO,PP,03/07/1999,14/06/2003
Galicia,Pontevedra                                        ,CERDEDO,PP,14/06/2003,08/01/2005
Galicia,Pontevedra                                        ,CERDEDO,PP,08/01/2005,
Galicia,"Coruña, A                                         ",CERDIDO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CERDIDO,PP,14/06/2003,27/04/2006
Galicia,"Coruña, A                                         ",CERDIDO,PP,10/05/2006,
Galicia,Lugo                                              ,CERVANTES,PSOE,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CERVANTES,PSOE,14/06/2003,
Galicia,Lugo                                              ,CERVO,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CERVO,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CESURAS,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CESURAS,PP,14/06/2003,
Galicia,Ourense                                           ,CHANDREXA DE QUEIXA,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,CHANDREXA DE QUEIXA,PP,14/06/2003,
Galicia,Lugo                                              ,CHANTADA,PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CHANTADA,PP,14/06/2003,
Galicia,"Coruña, A                                         ",COIROS,PP,03/07/1999,
Galicia,"Coruña, A                                         ",COIRÓS,PP,14/06/2003,
Galicia,Ourense                                           ,COLES,PP,03/07/1999,14/06/2003
Galicia,Ourense                                           ,COLES,PP,14/06/2003,
Galicia,"Coruña, A                                         ",CORCUBION,BNG,03/07/1999,
Galicia,"Coruña, A                                         ",CORCUBIÓN,IND,14/06/2003,
Galicia,Lugo                                              ,CORGO (O),PP,03/07/1999,14/06/2003
Galicia,Lugo                                              ,CORGO (O),PP,14/06/2003,
Galicia,"Coruña, A                                         ",CORISTANCO,PP,03/07/1999,14/06/2003
Galicia,"Coruña, A                                         ",CORISTANCO,PP,14/06/2003,
