municipio,comarca,provincia,altitud,superficie,poblacion,densidad
coirós,betanzos,a coruña,389,"33,6",1.824,"54,29"
coles,comarca de orense,ourense,386,"38,11",3.05,"80,03"
corcubión,comarca de fisterra,a coruña,,"6,52",1.589,"243,71"
coristanco,bergantiños,a coruña,,"141,28",6.074,"42,99"
cortegada,comarca del ribeiro,ourense,50,"26,89",1.085,"40,35"
cospeito,tierra llana,lugo,762,"144,79",4.484,"30,97"
cotobade,comarca de pontevedra,pontevedra,392,"135,2",,
covelo,comarca de paradanta,pontevedra,384,"134,7",2.396,"17,79"
crecente,,pontevedra,,"57,46",2.012,"35,02"
cualedro,comarca de verín,ourense,843,"117,77",1.679,"14,26"
culleredo,comarca de la coruña,a coruña,570,"61,73",30.402,"492,5"
cuntis,,pontevedra,200,"79,88",4.677,"58,55"
curtis,betanzos,a coruña,490,"116,7",3.983,"34,13"
dodro,comarca del sar,a coruña,20,"36,12",2.768,"76,63"
dozón,comarca del deza,pontevedra,,"74,23",1.082,"14,58"
dumbría,comarca de finisterre,a coruña,,"125,19",2.983,"23,83"
entrimo,baixa limia,ourense,"511,4","84,52",1.14,"13,49"
esgos,comarca de orense,ourense,580,"37,79",1.116,"29,53"
fene,ferrol,a coruña,395,"26,31",12.944,"491,98"
ferrol,comarca de ferrol,a coruña,0,"82,65",66.065,"799,33"
fisterra,comarca de finisterre,a coruña,,"29,43",4.708,"159,97"
folgoso do courel,,lugo,612,"193,32",1.024,"5,3"
forcarei,,pontevedra,,"169,66",3.388,"19,97"
fornelos de montes,comarca de vigo,pontevedra,412,"79,01",1.616,"20,45"
foz,comarca de a mariña,lugo,5,"100,29",9.98,"99,51"
frades,órdenes,a coruña,,"81,56",2.339,"28,68"
friol,comarca de lugo,lugo,481,"292,29",3.744,"12,81"
gomesende,comarca de tierra de celanova,ourense,445,"28,31",732.0,"25,86"
gondomar,comarca de vigo,pontevedra,15,"74,51",14.286,"191,73"
guitiriz,tierra llana,lugo,445,"293,97",5.484,"18,65"
guntín,lugo,lugo,,"154,78",2.69,"17,38"
irixoa,betanzos,a coruña,,"68,59",1.334,"19,45"
lalín,,pontevedra,541,"326,83",20.218,"61,86"
larouco,comarca de valdeorras,ourense,542,"23,69",429.0,"18,11"
laxe,bergantiños,a coruña,,"36,78",3.016,82
laza,comarca de verín,ourense,482,"215,91",1.228,"5,69"
leiro,comarca del ribeiro,ourense,90,"38,25",1.568,"40,99"
lobera,baixa limia,ourense,698,"68,88",798.0,"11,59"
lobios,baixa limia,ourense,387,"168,38",1.708,"10,14"
lourenzá,mariña central,lugo,726,"62,64",2.14,"34,16"
lousame,comarca de noya,a coruña,20,"93,65",3.338,"35,64"
lugo,comarca de lugo,lugo,465,"329,78",98.276,298
láncara,sarrià,lugo,378,"121,61",2.605,"21,42"
maceda,,ourense,536,"101,93",2.872,"28,18"
malpica de bergantiños,bergantiños,a coruña,387,"61,22",5.391,"88,06"
manzaneda,comarca de tierra de trives,ourense,657,"114,57",870.0,"7,59"
marín,comarca del morrazo,pontevedra,14,"36,66",24.319,"663,37"
maside,comarca de maside,ourense,378,"40,04",2.705,"67,56"
mazaricos,comarca del xallas,a coruña,310,"187,3",3.885,"20,74"
mañón,comarca de ortegal,a coruña,407,"82,21",1.356,"16,49"
meaño,salnés,pontevedra,,"27,77",5.272,"189,85"
meira,comarca de meira,lugo,480,"46,55",1.725,"37,06"
meis,comarca del salnés,pontevedra,55,"52,39",4.791,"91,45"
mellid,comarca de tierra de mellid,a coruña,454,"101,3",7.406,"73,11"
melón,comarca del ribeiro,ourense,,"53,25",1.184,"22,23"
mesía,,a coruña,"107,7","107,21",2.53,"23,6"
miño,comarca de betanzos,a coruña,10,"32,97",6.2,"188,05"
moaña,comarca del morrazo,pontevedra,133,"35,06",19.399,"553,31"
moeche,ferrol,a coruña,,"48,5",1.226,"25,28"
mondariz,comarca del condado,pontevedra,114,"82,33",4.44,"53,93"
mondariz-balneario,,pontevedra,758,"2,31",644.0,"278,79"
mondoñedo,la mariña central,lugo,141,"142,69",3.568,"25,01"
monfero,eume,a coruña,,"171,67",1.932,"11,25"
monforte de lemos,terra de lemos,lugo,360,"199,52",18.433,"92,39"
montederramo,comarca de tierra de caldelas,ourense,904,"135,57",711.0,"5,24"
monterrei,comarca de verín,ourense,521,"119,11",2.529,"21,23"
monterroso,comarca de ulloa,lugo,504,"114,59",3.616,"31,56"
moraña,,pontevedra,320,"41,24",4.179,"101,33"
mos,comarca de vigo,pontevedra,399,"53,29",15.078,"282,94"
mugardos,comarca de ferrol,a coruña,2,"12,77",5.245,"410,73"
muras,terra chá,lugo,,"163,82",642.0,"3,92"
muros,comarca de muros,a coruña,581,"72,91",8.556,"117,35"
muxía,comarca de finisterre,a coruña,,"121,19",4.657,"38,43"
muíños,baixa limia,ourense,680,"109,56",1.502,"13,71"
narón,comarca de ferrol,a coruña,26,"66,91",39.08,"584,07"
navia de suarna,comarca de los ancares,lugo,290,"243,85",1.081,"4,43"
neda,,a coruña,758,"24,46",5.079,"207,65"
negreira,barcala,a coruña,297,"115,1",6.827,"59,31"
negueira de muñiz,fonsagrada,lugo,,"72,27",215.0,"2,97"
nigrán,comarca de vigo,pontevedra,350,"34,77",17.675,"508,34"
nogueira de ramuín,comarca de orense,ourense,660,"98,31",1.998,"20,32"
noia,comarca de noya,a coruña,10,"37,21",14.263,"383,31"
o barco de valdeorras,valdeorras,ourense,325,"85,43",13.395,"156,8"
o bolo,comarca de valdeorras,ourense,785,"91,17",884.0,"9,7"
o carballiño,,ourense,397,"54,33",14.027,"258,18"
o corgo,lugo,lugo,"157,3","157,39",3.481,"22,12"
o grove,salnés,pontevedra,4,"21,89",10.65,"486,52"
o incio,comarca de sarria,lugo,740,"146,09",1.57,"10,75"
o irixo,comarca de carballino,ourense,546,"121,05",1.466,"12,11"
o pereiro de aguiar,,ourense,300,"60,89",6.275,"103,05"
o pino,comarca de arzúa,a coruña,287,"132,15",4.641,"35,12"
o porriño,comarca de vigo,pontevedra,109,"61,17",19.848,"324,47"
o páramo,comarca de sarria,lugo,,"74,8",1.366,"18,26"
o rosal,bajo miño,pontevedra,276,"44,13",6.234,"141,26"
o saviñao,tierra de lemos,lugo,600,"196,55",3.735,19
o valadouro,la mariña central,lugo,500,"110,45",1.991,"18,03"
o vicedo,a mariña occidental,lugo,20,"75,96",1.675,"22,05"
oia,bajo miño,pontevedra,3,"83,3",3.053,"36,65"
oleiros,comarca de la coruña,a coruña,,"43,66",36.075,"826,27"
ordes,comarca de ordes,a coruña,292,"157,23",12.674,"80,61"
oroso,comarca de órdenes,a coruña,,"72,59",7.5,"103,32"
ortigueira,comarca de ortegal,a coruña,58,"209,6",5.671,"27,06"
os blancos,comarca de la limia,ourense,797,"47,56",766.0,"16,11"
ourense,comarca de orense,ourense,145,"84,74",105.233,"1.241,83"
ourol,mariña occidental,lugo,5,"142,07",1.018,"7,17"
outeiro de rei,lugo,lugo,414,"134,2",5.151,"38,38"
outes,comarca de noya,a coruña,,"99,74",6.282,"62,98"
oza-cesuras,comarca de betanzos,a coruña,389,"151,62",5.101,"33,64"
oímbra,comarca de verín,ourense,419,"71,48",1.712,"23,95"
paderne,comarca de betanzos,a coruña,156,"39,83",2.394,"60,11"
paderne de allariz,comarca de allariz - maceda,ourense,536,"38,76",1.384,"35,71"
padrenda,,ourense,340,"57,04",1.748,"30,65"
padrón,,a coruña,,"48,37",8.384,"173,33"
palas de rei,comarca de ulloa,lugo,534,"199,68",3.388,"16,97"
pantón,terra de lemos,lugo,330,"143,24",2.542,"17,75"
parada de sil,comarca de tierra de caldelas,ourense,676,"62,43",538.0,"8,62"
paradela,comarca de sarria,lugo,345,"121,12",1.779,"14,69"
pazos de borbén,comarca de vigo,pontevedra,,"49,99",2.999,"59,99"
pedrafita do cebreiro,comarca de los ancares,lugo,1.098,"104,91",1.001,"9,54"
petín,comarca de valdeorras,ourense,300,"30,48",861.0,"28,25"
piñor,comarca de carballino,ourense,570,"52,69",1.176,"22,32"
poio,,pontevedra,91,"33,93",17.082,"503,45"
pol,comarca de meira,lugo,505,"125,9",1.609,"12,78"
ponte caldelas,,pontevedra,,87,5.494,"63,15"
ponteareas,comarca del condado,pontevedra,39,"125,53",22.877,"182,24"
ponteceso,bergantiños,a coruña,387,"91,97",5.502,"59,82"
pontecesures,,pontevedra,,"6,69",3.052,"456,2"
pontedeume,comarca del eume,a coruña,,"29,26",7.777,"265,79"
pontedeva,comarca de tierra de celanova,ourense,150,"9,86",511.0,"51,83"
pontevedra,comarca de pontevedra,pontevedra,20,"118,47",83.029,"700,84"
porquera,comarca de la limia,ourense,635,"43,4",815.0,"18,78"
portas,,pontevedra,758,"22,71",2.94,"129,46"
porto do son,comarca de noya,a coruña,,"94,58",9.171,"96,97"
portomarín,comarca de lugo,lugo,,"115,1",1.471,"12,78"
punxín,comarca de carballino,ourense,145,"17,08",693.0,"40,57"
quintela de leirado,comarca de tierra de celanova,ourense,360,"31,26",619.0,"19,8"
quiroga,comarca de quiroga,lugo,267,"317,38",3.207,"10,1"
rairiz de veiga,comarca de la limia,ourense,622,"72,11",1.266,"17,56"
ramirás,comarca de terra de celanova,ourense,318,"40,66",1.584,"38,96"
redondela,comarca de vigo,pontevedra,17,"52,08",29.218,"561,02"
rianxo,comarca del barbanza,a coruña,4,"58,79",11.033,"187,67"
ribadavia,comarca del ribeiro,ourense,95,"25,16",5.024,"199,68"
ribadeo,mariña oriental,lugo,571,"109,14",9.854,"90,29"
ribadumia,,pontevedra,,"19,71",5.052,"256,32"
ribas de sil,comarca de quiroga,lugo,240,"67,78",947.0,"13,97"
ribeira,comarca del barbanza,a coruña,0,"68,83",26.886,"390,61"
ribeira de piquín,comarca de meira,lugo,480,"72,99",528.0,"7,23"
riotorto,comarca de meira,lugo,190,"66,33",1.262,"19,03"
riós,comarca de verín,ourense,809,"114,44",1.516,"13,25"
rodeiro,,pontevedra,,"154,91",2.437,"15,73"
rois,comarca del sar,a coruña,74,"92,93",4.512,"48,55"
rubiá,comarca de valdeorras,ourense,549,"100,53",1.393,"13,86"
rábade,lugo,lugo,400,"5,17",1.501,"290,33"
sada,comarca de la coruña,a coruña,,"27,49",15.841,"576,25"
salceda de caselas,baixo miño,pontevedra,55,"35,92",9.164,"255,12"
salvaterra de miño,comarca del condado,pontevedra,150,"62,54",9.819,157
samos,sarrià,lugo,700,"136,77",1.278,"9,34"
san amaro,comarca de carballino,ourense,476,"29,03",1.089,"37,51"
san cibrao das viñas,comarca de orense,ourense,259,"39,48",5.405,"136,9"
san cristovo de cea,comarca de carballino,ourense,520,"94,44",2.137,"22,63"
san sadurniño,comarca de ferrol,a coruña,,"98,98",2.822,"28,51"
san xoán de río,comarca de tierra de trives,ourense,875,"61,14",531.0,"8,68"
sandiás,comarca de a limia,ourense,630,"52,84",1.206,"22,82"
santa comba,comarca del xallas,a coruña,300,"203,7",9.426,"46,27"
santiago de compostela,comarca de santiago,a coruña,260,"220,01",97.26,"442,07"
santiso,comarca de tierra de mellid,a coruña,385,"67,39",1.584,"23,5"
sanxenxo,o salnés,pontevedra,0,"45,08",17.347,"384,8"
sarreaus,comarca de la limia,ourense,650,"77,29",1.162,"15,03"
sarria,comarca de sarria,lugo,700,"184,62",13.33,"72,2"
silleda,,pontevedra,524,"167,96",8.687,"51,72"
sober,terra de lemos,lugo,600,"133,35",2.312,"17,34"
sobrado,comarca de tierra de mellid,a coruña,510,"120,57",1.758,"14,58"
soutomaior,comarca de vigo,pontevedra,239,"24,99",7.395,"295,92"
taboada,chantada,lugo,540,"146,67",2.756,"18,79"
taboadela,comarca de orense,ourense,386,"25,19",1.429,"56,73"
teo,comarca de santiago,a coruña,"79,65","79,25",18.579,"234,44"
tomiño,bajo miño,pontevedra,303,"106,61",13.45,"126,16"
toques,comarca de tierra de melide,a coruña,"78,49","77,93",1.124,"14,42"
tordoia,comarca de órdenes,a coruña,,"124,55",3.299,"26,49"
touro,comarca de arzúa,a coruña,500,"115,34",3.574,"30,99"
toén,comarca de orense,ourense,356,"58,29",2.355,"40,4"
trabada,la mariña oriental,lugo,571,"82,59",1.118,"13,54"
trasmiras,comarca de la limia,ourense,654,"56,74",1.286,"22,66"
trazo,comarca de órdenes,a coruña,320,"101,3",3.113,"30,73"
triacastela,comarca de sarria,lugo,665,"51,18",641.0,"12,52"
tui,bajo miño,pontevedra,44,"68,32",16.701,"244,45"
val do dubra,comarca de santiago,a coruña,0,"108,64",3.876,"35,68"
valdoviño,comarca de ferrol,a coruña,243,"88,22",6.563,"74,39"
valga,comarca de caldas,pontevedra,,"40,64",5.869,"144,41"
vedra,comarca de santiago,a coruña,165,"52,78",5.036,"95,41"
verea,comarca de terras de celanova,ourense,730,"94,23",943.0,"10,01"
verín,comarca de verín,ourense,373,"94,07",13.723,"145,88"
viana do bolo,comarca de viana,ourense,770,"270,41",2.886,"10,67"
vigo,comarca de vigo,pontevedra,28,"109,06",295.364,"2.708,27"
vila de cruces,,pontevedra,827,"154,96",5.246,"33,85"
vilaboa,,pontevedra,22,"36,9",5.874,"159,19"
vilagarcía de arousa,salnés,pontevedra,0,"44,24",37.456,"846,65"
vilalba,terra chá,lugo,480,"379,36",14.072,"37,09"
vilamartín de valdeorras,comarca de valdeorras,ourense,321,"88,26",1.79,"20,28"
vilamarín,comarca de orense,ourense,506,"56,09",1.854,"33,05"
vilanova de arousa,,pontevedra,50,"33,65",10.302,"306,15"
vilar de barrio,comarca de la limia,ourense,660,"106,74",1.307,"12,24"
vilar de santos,comarca da limia,ourense,632,"20,7",820.0,"39,61"
vilardevós,,ourense,743,"152,13",1.846,"12,13"
vilariño de conso,comarca de viana,ourense,740,"200,23",519.0,"2,59"
vilarmaior,comarca de betanzos,a coruña,156,"30,35",1.226,"40,4"
vilasantar,comarca de betanzos,a coruña,500,"59,17",1.213,"20,5"
vimianzo,comarca de tierra de soneira,a coruña,450,"187,27",7.057,"37,68"
viveiro,mariña occidental,lugo,12,"109,34",15.466,"141,45"
xermade,comarca de la tierra llana,lugo,"166,6","166,27",1.806,"10,86"
xinzo de limia,comarca de la limia,ourense,621,"132,67",9.715,"73,23"
xove,la mariña occidental,lugo,,"89,12",3.273,"36,73"
xunqueira de ambía,comarca de allariz - maceda,ourense,534,"60,21",1.375,"22,84"
xunqueira de espadanedo,comarca de allariz - maceda,ourense,679,"27,65",745.0,"26,94"
zas,comarca de tierra de soneira,a coruña,0,"133,29",4.472,"33,55"
