municipio,comarca,provincia,altitud,superficie,poblacion,densidad
a arnoia,comarca del ribeiro,ourense,76,"20,69",1.0,"48,33"
a baña,barcala,a coruña,297,"98,19",3.45,"35,14"
a bola,comarca de tierra de celanova,ourense,510,"34,9",1.156,"33,12"
a capela,comarca del eume,a coruña,,58,1.232,"21,24"
a cañiza,comarca de paradanta,pontevedra,570,"105,04",5.18,"49,31"
a coruña,comarca de la coruña,a coruña,21,"37,83",245.711,"6.495,14"
a estrada,comarca de tabeirós - tierra de montes,pontevedra,281,"280,74",20.479,"72,95"
a fonsagrada,comarca de fonsagrada,lugo,952,"438,42",3.465,"7,9"
a guarda,baixo miño,pontevedra,0,"20,5",9.977,"486,68"
a gudiña,comarca de viana,ourense,974,"171,42",1.254,"7,32"
a illa de arousa,salnés,pontevedra,9,"6,91",4.926,"712,88"
a lama,,pontevedra,478,"111,76",2.445,"21,88"
a laracha,bergantiños,a coruña,165,"125,95",11.347,"90,09"
a merca,comarca de tierra de celanova,ourense,482,"50,99",1.913,"37,52"
a mezquita,,ourense,984,"104,27",1.023,"9,81"
a pastoriza,tierra llana de castro rey,lugo,,"174,99",3.002,"17,16"
a peroxa,comarca de orense,ourense,511,"54,52",1.819,"33,36"
a pobra de trives,comarca de tierra de trives,ourense,746,"84,2",2.067,"24,55"
a pobra do brollón,tierra de lemos,lugo,385,"176,71",1.648,"9,33"
a pobra do caramiñal,comarca del barbanza,a coruña,0,"32,51",9.338,"287,23"
a pontenova,mariña oriental,lugo,5,"135,8",2.264,"16,67"
a rúa,comarca de valdeorras,ourense,317,"35,91",4.314,"120,13"
a teixeira,comarca de tierra de caldelas,ourense,593,"27,64",316.0,"11,43"
a veiga,comarca de valdeorras,ourense,884,"290,49",889.0,"3,06"
abadín,tierra llana,lugo,500,"196,02",2.367,"12,08"
abegondo,a coruña,a coruña,700,"83,9",5.406,"64,43"
agolada,comarca del deza,pontevedra,,"147,85",2.344,"15,85"
alfoz,mariña central,lugo,763,"77,5",1.688,"21,78"
allariz,comarca de allariz-maceda,ourense,132,"85,96",6.188,"71,99"
ames,santiago de compostela,a coruña,63,"80,1",31.793,"396,92"
amoeiro,comarca de orense,ourense,396,"39,68",2.28,"57,46"
antas de ulla,comarca de ulloa,lugo,600,"103,6",1.976,"19,07"
aranga,comarca de betanzos,a coruña,262,"119,59",1.849,"15,46"
arbo,,pontevedra,257,"42,66",2.58,"60,48"
ares,,a coruña,9,"18,31",5.732,"313,05"
arteixo,comarca de la coruña,a coruña,11,"93,68",32.262,"344,39"
arzúa,comarca de arzúa,a coruña,385,"155,48",6.041,"38,85"
as neves,comarca del condado,pontevedra,630,"65,84",3.841,"58,34"
as nogais,candín,lugo,668,"110,34",1.079,"9,78"
as pontes de garcía rodríguez,comarca del eume,a coruña,340,"249,37",10.138,"40,65"
as somozas,comarca de ferrol,a coruña,,"70,91",1.098,"15,48"
avión,comarca del ribeiro,ourense,380,"121,13",1.795,"14,82"
baiona,comarca de vigo,pontevedra,622,"34,47",12.122,"351,67"
baleira,comarca de fonsagrada,lugo,1.049,"168,82",1.241,"7,35"
baltar,,ourense,823,"93,99",962.0,"10,24"
bande,baixa limia,ourense,728,"98,96",1.528,"15,44"
baralla,comarca de los ancares,lugo,500,"141,16",2.556,"18,11"
barbadás,,ourense,206,"30,12",11.037,"366,43"
barreiros,la mariña oriental,lugo,5,"72,42",2.934,"40,51"
barro,,pontevedra,,"37,64",3.68,"97,77"
baños de molgas,comarca de allariz - maceda,ourense,518,"67,64",1.519,"22,46"
beade,comarca del ribeiro,ourense,158,"6,4",397.0,"62,03"
beariz,comarca de carballino,ourense,610,"55,97",971.0,"17,35"
becerreá,comarca de los ancares,lugo,668,"172,05",2.818,"16,38"
begonte,tierra llana,lugo,400,"126,8",3.026,"23,86"
bergondo,,a coruña,68,"32,72",6.633,"202,72"
betanzos,comarca de betanzos,a coruña,36,"24,21",12.959,"535,27"
boborás,comarca de carballino,ourense,420,"87,82",2.285,"26,02"
boimorto,arzúa,a coruña,500,"82,34",1.985,"24,11"
boiro,comarca del barbanza,a coruña,32,"86,58",18.838,"217,58"
boqueixón,santiago de compostela,a coruña,289,"73,18",4.22,"57,67"
brión,santiago de compostela,a coruña,289,"74,73",7.837,"104,87"
bueu,comarca de el morrazo,pontevedra,239,"30,84",12.009,"389,4"
burela,la mariña central,lugo,25,"7,78",9.588,"1.232,39"
bóveda,terra de lemos,lugo,689,"91,11",1.481,"16,26"
cabana de bergantiños,bergantiños,a coruña,375,"100,23",4.248,"42,38"
cabanas,eume,a coruña,,"30,3",3.281,"108,28"
caldas de reis,,pontevedra,24,"68,25",9.785,"143,37"
calvos de randín,comarca de la limia,ourense,893,"97,87",770.0,"7,87"
camariñas,comarca de tierra de soneira,a coruña,10,"51,6",5.272,"102,17"
cambados,salnés,pontevedra,0,"23,44",13.744,"586,35"
cambre,comarca de la coruña,a coruña,52,"40,74",24.648,"605,01"
campo lameiro,comarca de pontevedra,pontevedra,,"63,77",1.817,"28,49"
cangas,comarca de el morrazo,pontevedra,9,"38,08",26.542,"697,01"
carballeda de avia,comarca del ribeiro,ourense,249,"46,37",1.286,"27,73"
carballeda de valdeorras,comarca de valdeorras,ourense,600,"222,69",1.545,"6,94"
carballedo,chantada,lugo,800,"138,85",2.193,"15,79"
carballo,bergantinos,a coruña,106,"186,09",,
cariño,comarca de ortegal,a coruña,613,"47,19",3.838,"81,33"
carnota,comarca de muros,a coruña,700,"70,9",3.957,"55,81"
carral,a coruña,a coruña,130,"48,03",6.408,"133,42"
cartelle,comarca de tierra de celanova,ourense,360,"94,29",2.642,"28,02"
castrelo de miño,comarca del ribeiro,ourense,159,"39,74",1.349,"33,95"
castrelo do val,comarca de verín,ourense,419,"122,05",984.0,"8,06"
castro caldelas,comarca de tierra de caldelas,ourense,763,"87,61",1.224,"13,97"
castro de rei,tierra llana,lugo,444,"176,97",5.052,"28,55"
castroverde,lugo,lugo,700,"174,15",2.617,"15,03"
catoira,comarca de caldas,pontevedra,67,"29,44",3.335,"113,28"
cedeira,comarca de ferrol,a coruña,137,"85,42",6.64,"77,73"
cee,comarca de finisterre,a coruña,,"57,45",7.546,"131,35"
celanova,comarca de tierra de celanova,ourense,530,"67,31",5.649,"83,93"
cenlle,,ourense,117,"29,03",1.12,"38,58"
cerceda,comarca de órdenes,a coruña,,"111,27",5019,
cerdedo,,pontevedra,,80,,
cerdedo-cotobade,comarca de pontevedra,pontevedra,,"213,27",5.699,"26,72"
cerdido,comarca de ortegal,a coruña,240,"52,72",1.113,"21,11"
cervantes,los ancares lucenses,lugo,624,"277,63",1.338,"4,82"
cervo,mariña occidental,lugo,465,"77,86",4.227,"54,29"
chandrexa de queixa,comarca de tierra de trives,ourense,993,"171,81",456.0,"2,65"
chantada,comarca de chantada,lugo,36,"176,73",8.192,"46,35"
